nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 4.150732005 4.4610488345 4.475205822923001 4.856319765
2 1000000 1000000 4994964 3.678921236 3.9284915665 3.9357512233449996 4.412618677
3 1000000 1000000 4994964 3.539444796 3.8720360825 3.867400273889 4.156509532
4 1000000 1000000 4994964 3.466859351 3.71886414 3.7358533344250002 4.026405857
5 1000000 1000000 4994964 3.423295479 3.6443572295 3.675068510441 4.078022539
6 1000000 1000000 4994964 3.32919722 3.578124742 3.5985285883039997 4.214027336
7 1000000 1000000 4994964 3.083833577 3.425704345 3.4614565780229998 3.976521866
8 1000000 1000000 4994964 3.217685477 3.475206427 3.47601777624 3.830216297
9 1000000 1000000 4994964 3.188704037 3.416533955 3.429712995237 3.760181852
10 1000000 1000000 4994964 3.149187825 3.4241999545 3.432551246953 3.714673449
11 1000000 1000000 4994964 3.197421577 3.417559909 3.423399980873 3.763875388
12 1000000 1000000 4994964 3.104789432 3.331894314 3.339271208539 3.705460348
13 1000000 1000000 4994964 2.965109394 3.253869346 3.267749698697 3.640968817
14 1000000 1000000 4994964 3.159388887 3.3694805345 3.381334835981 3.712658013
15 1000000 1000000 4994964 3.065715958 3.325006562 3.332824268256 3.687287789
16 1000000 1000000 4994964 3.072214606 3.376209577 3.373288575484 3.76337793
17 1000000 1000000 4994964 3.052266386 3.353610488 3.345729643433 3.706640167
18 1000000 1000000 4994964 2.943217963 3.2815983215 3.2754959071729997 3.61676684
19 1000000 1000000 4994964 2.92488199 3.2961456405 3.28857249703 3.826397652
20 1000000 1000000 4994964 3.119241833 3.392474862 3.383577501158 3.84872823
21 1000000 1000000 4994964 3.013822487 3.359620607 3.350535943474 3.679732863
22 1000000 1000000 4994964 2.942740293 3.297609708 3.2942104001640002 3.699734254
23 1000000 1000000 4994964 3.041753024 3.3339129475 3.341895485077 3.686464137
24 1000000 1000000 4994964 3.046430799 3.3313572395 3.339473656698 3.64851538
25 1000000 1000000 4994964 3.133033464 3.369211479 3.381871880205 3.668248219
26 1000000 1000000 4994964 3.05198268 3.3080102865 3.3245085851 3.728919535
27 1000000 1000000 4994964 2.944580443 3.2595807885 3.278073538443 3.6994295
28 1000000 1000000 4994964 2.99062492 3.3435711 3.3640467415760003 3.777086414
29 1000000 1000000 4994964 3.109075849 3.379686969 3.393812411422 3.732025708
30 1000000 1000000 4994964 3.043823477 3.309901473 3.319597184126 3.625994475
31 1000000 1000000 4994964 3.032803702 3.3271850085 3.3386326661659997 3.802050295
32 1000000 1000000 4994964 2.959963711 3.3033454985 3.313908121611 3.709903191
