nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 0.044053837 0.0443905395 0.044561117168 0.049552292
2 1000000 1000000 4994964 0.044562099 0.044927855 0.045121144501 0.050672944
3 1000000 1000000 4994964 0.044470017 0.044807212 0.044995750687 0.049771145
4 1000000 1000000 4994964 0.045420347 0.0458132155 0.045966428766999995 0.051224152
5 1000000 1000000 4994964 0.045093785 0.0454088225 0.045565298356 0.050488573
6 1000000 1000000 4994964 0.045343922 0.0456824035 0.045841554701 0.051181885
7 1000000 1000000 4994964 0.04461421 0.0450245795 0.045170186898 0.050715266
8 1000000 1000000 4994964 0.045254738 0.045592594 0.045762441995 0.051019005
9 1000000 1000000 4994964 0.044179287 0.04446012 0.044635591295 0.050767022
10 1000000 1000000 4994964 0.044000747 0.044333277 0.044494979868 0.05204355
11 1000000 1000000 4994964 0.044473699 0.0448296515 0.044972572603 0.050598686
12 1000000 1000000 4994964 0.045314108 0.045666239 0.045825190423 0.052541514
13 1000000 1000000 4994964 0.04446885 0.044849879 0.045013896395 0.051214377
14 1000000 1000000 4994964 0.044598927 0.0449591365 0.045122994806 0.050256345
15 1000000 1000000 4994964 0.044574517 0.0448767565 0.045053658288999994 0.050474411
16 1000000 1000000 4994964 0.045495011 0.0458061925 0.045968919971 0.052797471
17 1000000 1000000 4994964 0.045429217 0.0457374305 0.045902977992 0.050800065
18 1000000 1000000 4994964 0.0453296 0.045671361 0.045871227619999996 0.051001867
19 1000000 1000000 4994964 0.045223984 0.045501841 0.045672184973 0.051143223
20 1000000 1000000 4994964 0.045321268 0.0456021175 0.045768998525 0.051223504
21 1000000 1000000 4994964 0.04540485 0.0457360365 0.045901279297 0.051413687
22 1000000 1000000 4994964 0.0440905 0.0444036645 0.044570045453 0.049401032
23 1000000 1000000 4994964 0.044008778 0.044284011 0.044437523810999996 0.049316689
24 1000000 1000000 4994964 0.045445302 0.045732139 0.045893174897 0.051276194
25 1000000 1000000 4994964 0.044732309 0.0450311595 0.04521698337 0.050570088
26 1000000 1000000 4994964 0.045187834 0.0454852155 0.045656693521 0.050847018
27 1000000 1000000 4994964 0.044422465 0.0447710845 0.044954748053 0.050893557
28 1000000 1000000 4994964 0.044793112 0.0451211795 0.045284645313 0.050247562
29 1000000 1000000 4994964 0.044541375 0.044914118 0.045073069104999995 0.050505301
30 1000000 1000000 4994964 0.044329463 0.0445713945 0.044744906404 0.050009574
31 1000000 1000000 4994964 0.044693014 0.045074691 0.045252237447 0.050324965
32 1000000 1000000 4994964 0.045347033 0.04564643 0.045811117699 0.05104001
