nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 5.175588405 5.184468457 5.184565645505 5.215778592
2 1000000 1000000 4994964 4.169211767 4.2512992735 4.31642398261 4.733306424
3 1000000 1000000 4994964 3.95566443 4.0262933385 4.027020794284 4.359005853
4 1000000 1000000 4994964 3.762110157 3.806176828 3.80543301194 4.084018249
5 1000000 1000000 4994964 3.664785626 3.7344061905 3.7329230893060004 3.97070068
6 1000000 1000000 4994964 3.60307029 3.6189039465 3.618205425726 3.651613203
7 1000000 1000000 4994964 3.486024267 3.524850755 3.523072732973 3.547221367
8 1000000 1000000 4994964 3.408517166 3.424752682 3.436642174354 3.774956886
9 1000000 1000000 4994964 3.397729229 3.417579356 3.416942537635 3.692387903
10 1000000 1000000 4994964 3.378380923 3.410589817 3.422364655084 3.681394113
11 1000000 1000000 4994964 3.313519403 3.3302803595 3.336112293482 3.679381213
12 1000000 1000000 4994964 3.312657351 3.348112458 3.349318122568 3.462507192
13 1000000 1000000 4994964 3.326551954 3.371516586 3.3855140475170002 3.71747121
14 1000000 1000000 4994964 3.373405334 3.3990067495 3.421462677948 3.523257231
15 1000000 1000000 4994964 3.405969438 3.486084538 3.4874808407919997 3.53183701
16 1000000 1000000 4994964 3.359267987 3.488943741 3.4830001911129997 3.525741477
17 1000000 1000000 4994964 3.426129834 3.5373936235 3.525644141797 3.799736278
18 1000000 1000000 4994964 3.361605988 3.3776468505 3.379833833592 3.400278959
19 1000000 1000000 4994964 3.311455578 3.359852825 3.3696707081510002 3.695981187
20 1000000 1000000 4994964 3.339202289 3.365059211 3.365582231105 3.458875926
21 1000000 1000000 4994964 3.392200249 3.45983459 3.4507426336149996 3.484899114
22 1000000 1000000 4994964 3.353052374 3.385312177 3.394490598685 3.465798922
23 1000000 1000000 4994964 3.307994507 3.38140831 3.384280079982 3.693531683
24 1000000 1000000 4994964 3.38633129 3.4532875605 3.4399142679450003 3.504871079
25 1000000 1000000 4994964 3.400166944 3.4507479055 3.442415689927 3.698874142
26 1000000 1000000 4994964 3.308332795 3.342243092 3.352350303132 3.434048642
27 1000000 1000000 4994964 3.366391877 3.4390673115 3.426534319819 3.495557619
28 1000000 1000000 4994964 3.377331898 3.437545126 3.4270586085419996 3.762568703
29 1000000 1000000 4994964 3.38525782 3.440117265 3.429652770382 3.543715174
30 1000000 1000000 4994964 3.274626201 3.314444023 3.324842902236 3.650796646
31 1000000 1000000 4994964 3.351107785 3.3969576075 3.4109773824899996 3.751813036
32 1000000 1000000 4994964 3.36445343 3.4437854245 3.466030281289 3.777219307
