nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 74.030541858 74.3257844575 74.23410440935001 74.363350923
2 10000000 10000000 49984105 41.378570166 41.430848645 41.43514224972 41.516291468
3 10000000 10000000 49984105 34.224969031 38.2299350855 37.9421557572 38.787202975
4 10000000 10000000 49984105 28.619479786 30.4888496995 29.912518881380002 31.64242364
5 10000000 10000000 49984105 24.008412652 24.520397592 24.70341075176 27.08623235
6 10000000 10000000 49984105 22.847049104 23.238443465 23.38709869716 24.255010622
7 10000000 10000000 49984105 20.444708452 20.8610532125 21.051027447990002 23.203572186
8 10000000 10000000 49984105 19.289157718 20.307858892 20.22615211203 21.094012159
9 10000000 10000000 49984105 18.754411347 19.0602630545 19.068009473740002 20.062046437
10 10000000 10000000 49984105 17.401024358 18.0844667315 18.225588197529998 19.588551184
11 10000000 10000000 49984105 15.966722299 17.48929759 17.579309943520002 19.131503855
12 10000000 10000000 49984105 16.884653318 17.257003509 17.31643896648 17.750421955
13 10000000 10000000 49984105 16.326950034 16.696978499 16.70203055504 17.158029649
14 10000000 10000000 49984105 16.139233394 16.584273724 16.57463178075 17.717981514
15 10000000 10000000 49984105 16.016590344 16.341016139 16.318166744430002 16.461192924
16 10000000 10000000 49984105 15.012735732 15.783422307 15.66511917258 16.123797181
17 10000000 10000000 49984105 14.633385343 15.3985170055 15.525411420129998 17.457740086
18 10000000 10000000 49984105 14.88317555 15.601563567 15.6579581702 16.779954959
19 10000000 10000000 49984105 14.879202151 15.3863730495 15.54338385836 16.317380157
20 10000000 10000000 49984105 14.407982395 15.0824952065 15.11673325395 15.600508002
21 10000000 10000000 49984105 14.341381349 15.1654800465 15.21342510425 16.416265012
22 10000000 10000000 49984105 14.642007512 15.431139311 15.49963346236 16.498612236
23 10000000 10000000 49984105 14.501785749 15.1154143845 15.13625127785 16.101337759
24 10000000 10000000 49984105 13.613483244 14.5284492395 14.58637755673 15.668617927
25 10000000 10000000 49984105 14.434909397 14.943071794 15.01480947524 15.850091823
26 10000000 10000000 49984105 14.007817939 14.793293464 14.90581232203 15.737660248
27 10000000 10000000 49984105 13.866808992 14.9502209515 14.8555969445 15.549658541
28 10000000 10000000 49984105 13.643540614 14.3412212285 14.37371490464 15.287633599
29 10000000 10000000 49984105 13.695667843 14.8520571085 14.768234571399999 15.490291997
30 10000000 10000000 49984105 13.810884561 14.598485157 14.587463603649999 15.509261517
31 10000000 10000000 49984105 14.294166741 15.106695777 15.0799614573 15.416679938
32 10000000 10000000 49984105 14.220979921 14.959184781 14.953836121110001 15.772631976
