nthreads nrows ncols nnz min med mean max
1 1270432 1270432 8814880 4.33548373 4.4447771195 4.48299677088 4.797733814
2 1270432 1270432 8814880 3.680843406 3.856393827 3.85847681163 4.301884333
3 1270432 1270432 8814880 3.558336299 3.775549307 3.7890235950599997 4.108818782
4 1270432 1270432 8814880 3.359483432 3.5955811045 3.6125795436300003 3.967311414
5 1270432 1270432 8814880 3.191991912 3.427190396 3.4352117833099998 3.759207363
6 1270432 1270432 8814880 3.287058517 3.5001451845 3.5116123852 3.778262757
7 1270432 1270432 8814880 3.243975656 3.4453978195 3.46013946752 3.76805992
8 1270432 1270432 8814880 3.227038839 3.433841633 3.42819044047 3.669814237
9 1270432 1270432 8814880 3.123139753 3.3195104215 3.3509865617199996 3.748780126
10 1270432 1270432 8814880 3.047334047 3.250420627 3.2667352029699996 3.581049226
11 1270432 1270432 8814880 3.037740216 3.236561068 3.2519317164899997 3.574214062
12 1270432 1270432 8814880 3.046095668 3.193488763 3.21441890004 3.551736292
13 1270432 1270432 8814880 3.049907594 3.222317277 3.2314575222800004 3.534954704
14 1270432 1270432 8814880 2.967036109 3.276331218 3.28836970607 3.593821647
15 1270432 1270432 8814880 2.98071002 3.1694028935 3.18689522254 3.548932828
16 1270432 1270432 8814880 2.96389631 3.1965878805 3.20747553171 3.489523215
17 1270432 1270432 8814880 3.099539111 3.30517292 3.31507538913 3.707246022
18 1270432 1270432 8814880 2.968373314 3.208012737 3.21313082902 3.698281673
19 1270432 1270432 8814880 3.026338629 3.311707554 3.32717448536 3.651401009
20 1270432 1270432 8814880 2.972224141 3.1801934715 3.20363664709 3.495097018
21 1270432 1270432 8814880 2.994125663 3.18668386 3.19434361837 3.638614083
22 1270432 1270432 8814880 3.04992914 3.254685701 3.27907318229 3.805466386
23 1270432 1270432 8814880 2.968959749 3.1901169875 3.21500417861 3.843984216
24 1270432 1270432 8814880 3.034307693 3.2356867945 3.25999178991 3.87983631
25 1270432 1270432 8814880 2.888019368 3.1551090895 3.23900555283 4.539468676
26 1270432 1270432 8814880 2.907981939 3.143051063 3.19029606544 3.901927547
27 1270432 1270432 8814880 2.931834617 3.16251425 3.2154854927199996 4.003550946
28 1270432 1270432 8814880 2.915508235 3.196050288 3.2586345953499998 4.213107718
29 1270432 1270432 8814880 2.789497214 3.160037858 3.2807988592600004 4.337824101
30 1270432 1270432 8814880 2.945369042 3.1869453205 3.32992759941 5.855105282
31 1270432 1270432 8814880 2.881828157 3.115017564 3.22052523616 4.7340136
32 1270432 1270432 8814880 2.973032878 3.21786337 3.2348900068499997 3.924252953
