nthreads nrows ncols nnz min med mean max
1 1270432 1270432 8814880 25.923065842 25.974752515 25.9712477116 26.047595008
2 1270432 1270432 8814880 14.590778897 15.0534995565 15.06853429184 15.277529911
3 1270432 1270432 8814880 11.23259367 11.3192313715 11.320884257629999 11.411730826
4 1270432 1270432 8814880 9.911076678 10.0741707515 10.065475563809999 10.221809862
5 1270432 1270432 8814880 8.102845073 8.3233090515 8.28532556086 8.393751117
6 1270432 1270432 8814880 7.598889416 7.6603746765 7.67089585072 8.067348695
7 1270432 1270432 8814880 7.175095132 7.5329482785 7.48718700939 7.591880676
8 1270432 1270432 8814880 6.849091819 7.1172590295 7.1001113048699995 7.169943941
9 1270432 1270432 8814880 6.455029576 6.768957607 6.749972322760001 6.826687688
10 1270432 1270432 8814880 6.189466117 6.3522061175 6.38701491522 6.678067584
11 1270432 1270432 8814880 6.007763391 6.4776271545 6.37021853762 6.553900066
12 1270432 1270432 8814880 5.925840107 6.188440786 6.17773353378 6.242862729
13 1270432 1270432 8814880 5.821036687 5.953284531 5.99504579062 6.519252335
14 1270432 1270432 8814880 5.788821052 6.0722115955 6.06748297609 6.199605298
15 1270432 1270432 8814880 5.700044335 5.894195073 5.8955846662299995 6.125177049
16 1270432 1270432 8814880 5.687282493 6.040862784 6.02767105399 6.203143316
17 1270432 1270432 8814880 5.600204649 5.799796283 5.82515620618 7.318333899
18 1270432 1270432 8814880 5.552224657 5.800922286 5.84406367662 6.87033966
19 1270432 1270432 8814880 5.639706213 7.2633929525 6.980625487479999 7.375102176
20 1270432 1270432 8814880 6.361551247 6.877966068 7.0406256783000005 8.244756651
21 1270432 1270432 8814880 7.093364343 7.275891239 7.27670707282 7.439070351
22 1270432 1270432 8814880 6.757315666 6.8838855815 6.94722625102 7.489980286
23 1270432 1270432 8814880 6.81073904 7.056112654 7.06427249061 7.384849683
24 1270432 1270432 8814880 6.635715061 6.987328922 6.97189337844 7.181055771
25 1270432 1270432 8814880 6.616829812 6.87317877 6.90885758449 7.311454272
26 1270432 1270432 8814880 6.565294624 6.8539072865 6.8509619143 7.106448286
27 1270432 1270432 8814880 6.299608846 6.4968171235 6.52028296212 6.90581437
28 1270432 1270432 8814880 6.518017626 6.7595949795 6.74187802593 7.008188108
29 1270432 1270432 8814880 6.532932383 6.773998608 6.77953096366 7.098133636
30 1270432 1270432 8814880 6.513262876 6.7753948715 6.81293341357 7.259575104
31 1270432 1270432 8814880 6.40031102 6.6906785765 6.67151529487 6.989195526
32 1270432 1270432 8814880 6.436413852 6.8668977025 6.84415666555 7.303223424
