nthreads nrows ncols nnz min med mean max
1 1270432 1270432 8814880 0.032746753 0.0331732645 0.03408141095 0.038483938
2 1270432 1270432 8814880 0.031450752 0.0316779235 0.0326944422 0.036972011
3 1270432 1270432 8814880 0.03238306 0.032563115 0.033583860369999996 0.038012339
4 1270432 1270432 8814880 0.031816817 0.0319692615 0.032995764489999996 0.037825883
5 1270432 1270432 8814880 0.031729487 0.031925723 0.03293439374 0.037740101
6 1270432 1270432 8814880 0.032346742 0.032537862 0.03351304053 0.037850099
7 1270432 1270432 8814880 0.032000824 0.0321750035 0.03312220533 0.037604958
8 1270432 1270432 8814880 0.032765089 0.032951522 0.03393357832 0.038310868
9 1270432 1270432 8814880 0.031676636 0.0318798675 0.03291021852 0.036978121
10 1270432 1270432 8814880 0.031761763 0.032003419 0.03300968697 0.038347309
11 1270432 1270432 8814880 0.032059935 0.032251627 0.033221233350000004 0.037788071
12 1270432 1270432 8814880 0.032300206 0.0324778535 0.0334692606 0.037845421
13 1270432 1270432 8814880 0.032106544 0.032231722 0.03325651388 0.03777193
14 1270432 1270432 8814880 0.032473591 0.0329135995 0.03385644214 0.038449264
15 1270432 1270432 8814880 0.031386591 0.031566923 0.0325778908 0.036914557
16 1270432 1270432 8814880 0.032031024 0.032167509 0.03317329136 0.037518701
17 1270432 1270432 8814880 0.032231809 0.032440603 0.03348446787 0.038115919
18 1270432 1270432 8814880 0.030830565 0.031133746 0.03211923676 0.03646133
19 1270432 1270432 8814880 0.031850432 0.0320897145 0.03309539566 0.037481143
20 1270432 1270432 8814880 0.032594902 0.0330645695 0.03399903078 0.038372387
21 1270432 1270432 8814880 0.030866289 0.0310889915 0.0320889548 0.036268952
22 1270432 1270432 8814880 0.031447048 0.031684403 0.03269820339 0.037568431
23 1270432 1270432 8814880 0.032490552 0.032657769 0.033671012369999996 0.038136615
24 1270432 1270432 8814880 0.032836344 0.0330788545 0.03413052099 0.038486204
25 1270432 1270432 8814880 0.031792147 0.031993451 0.03298369373 0.037440177
26 1270432 1270432 8814880 0.032189693 0.0324209445 0.03341896103 0.038042315
27 1270432 1270432 8814880 0.031959049 0.03226867 0.0332456159 0.037732867
28 1270432 1270432 8814880 0.031543942 0.031762711 0.032788452329999995 0.037217393
29 1270432 1270432 8814880 0.030989595 0.0312746915 0.03226580371 0.03671436
30 1270432 1270432 8814880 0.031131733 0.0313472355 0.032317301629999996 0.036631956
31 1270432 1270432 8814880 0.031658836 0.032009784 0.0330293128 0.037602964
32 1270432 1270432 8814880 0.032409696 0.0328988405 0.033868847130000004 0.038399224
