nthreads nrows ncols nnz min med mean max
1 1270432 1270432 8814880 22.162679768 22.296191709 22.31419473815 22.382220093
2 1270432 1270432 8814880 15.608886675 15.8398872285 16.09774327482 18.405388446
3 1270432 1270432 8814880 14.644752719 14.736115434 14.75318432388 15.066958836
4 1270432 1270432 8814880 13.558744199 13.6595664475 13.66406140142 13.745639136
5 1270432 1270432 8814880 13.020750319 13.126131873 13.127095303719999 13.235119098
6 1270432 1270432 8814880 13.058851131 13.1991947645 13.1913000942 13.236558924
7 1270432 1270432 8814880 12.736676947 12.804680282 12.80983736641 13.094897016
8 1270432 1270432 8814880 12.759343466 12.938555578 12.92324708458 12.981452523
9 1270432 1270432 8814880 12.183384805 12.5599845305 12.57053341379 12.748213688
10 1270432 1270432 8814880 12.087324552 12.548846015 12.45812220961 12.628121066
11 1270432 1270432 8814880 12.37797205 12.5280814235 12.52265228133 12.755038474
12 1270432 1270432 8814880 12.233258245 12.647452377 12.580509582520001 12.704949841
13 1270432 1270432 8814880 12.348989432 12.550400126 12.535803179930001 12.71333151
14 1270432 1270432 8814880 11.820577783 12.316295093 12.23306115488 12.781826901
15 1270432 1270432 8814880 12.027329629 12.1301530535 12.18551328615 13.476477065
16 1270432 1270432 8814880 11.743860126 12.236260947 12.22683445834 13.836276581
17 1270432 1270432 8814880 12.1573813 12.367829146 12.36279143993 12.501737148
18 1270432 1270432 8814880 11.808046385 12.0627570465 12.03621868049 12.094936458
19 1270432 1270432 8814880 11.917987208 12.027227657 12.0346113526 12.188711271
20 1270432 1270432 8814880 12.176575515 12.452817355 12.44020592147 12.560184768
21 1270432 1270432 8814880 11.77223879 12.062863894 12.048307656959999 12.213683747
22 1270432 1270432 8814880 11.900092624 12.0985143075 12.12753628346 13.613264137
23 1270432 1270432 8814880 11.979481105 12.004300439 12.17600916235 13.681738777
24 1270432 1270432 8814880 12.15210254 12.2454127365 12.38978825258 14.162836411
25 1270432 1270432 8814880 11.574898159 12.2737924975 12.462561204930001 13.847389385
26 1270432 1270432 8814880 11.473046709 11.699767409 11.82985256529 13.423902388
27 1270432 1270432 8814880 11.967797668 12.248877677 12.260161280370001 13.831644718
28 1270432 1270432 8814880 11.727959611 11.94004951 11.94648456049 12.11716508
29 1270432 1270432 8814880 12.145788993 12.6668651895 12.6293635166 13.327896224
30 1270432 1270432 8814880 11.851401245 12.183858067 12.293006186629999 14.114953447
31 1270432 1270432 8814880 12.238780559 12.5945537655 12.63614355334 14.01543613
32 1270432 1270432 8814880 12.486118286 12.753918126 12.7393927406 13.232754967
