nthreads nrows ncols nnz min med mean max
1 1270432 1270432 8814880 72.66281561 72.9377732135 72.94725806073 73.245523445
2 1270432 1270432 8814880 41.805274731 42.0511493795 42.19572007314 46.015102762
3 1270432 1270432 8814880 33.918235003 34.884262517 34.783113647650005 35.554468813
4 1270432 1270432 8814880 27.83847044 29.120603147 29.34523026453 31.406121328
5 1270432 1270432 8814880 25.410156558 25.595623459 25.5989014367 25.861838552
6 1270432 1270432 8814880 23.917212136 24.8188130805 24.72165080491 25.231697577
7 1270432 1270432 8814880 21.863915566 23.2848274135 23.40676226403 24.87653739
8 1270432 1270432 8814880 21.896096827 23.2001668435 23.118212739540002 23.509839826
9 1270432 1270432 8814880 21.207291275 21.839348524 21.89275330943 24.296186294
10 1270432 1270432 8814880 20.939655812 21.3006460795 21.55643133393 23.090957763
11 1270432 1270432 8814880 19.910907901 21.0180021955 20.92915320055 21.277375409
12 1270432 1270432 8814880 19.814911249 21.360614555 21.154483552869998 21.635526522
13 1270432 1270432 8814880 19.787826749 21.021430916 20.93088011279 21.567281944
14 1270432 1270432 8814880 19.723771343 21.139461924 21.019152587729998 21.500001902
15 1270432 1270432 8814880 20.166088599 21.662457047 21.53607725985 23.202913142
16 1270432 1270432 8814880 19.297062277 20.5790861255 20.59367599975 21.380028119
17 1270432 1270432 8814880 19.101339046 19.7819244095 19.897511758150003 21.468021957
18 1270432 1270432 8814880 19.505157336 20.481682036 20.48247001351 21.023444441
19 1270432 1270432 8814880 19.20324868 20.7667207695 20.75844380469 23.016169115
20 1270432 1270432 8814880 19.72358127 20.172599165 20.20293059063 20.995181476
21 1270432 1270432 8814880 19.421961504 20.6026969275 20.565837877630003 21.565748552
22 1270432 1270432 8814880 20.124805024 21.733556793 21.5885264542 22.234287238
23 1270432 1270432 8814880 19.446894511 20.400584287 20.57132195111 22.171774445
24 1270432 1270432 8814880 18.74012918 20.3135746805 20.57344101959 22.634079608
25 1270432 1270432 8814880 19.681251093 20.7373873165 20.59096057756 20.987736511
26 1270432 1270432 8814880 19.627334312 20.460716949 20.44927359269 21.786106198
27 1270432 1270432 8814880 19.569223505 21.3394155265 21.227474017360002 22.044681955
28 1270432 1270432 8814880 18.990191971 20.523667459 20.44230987655 20.723475422
29 1270432 1270432 8814880 18.952068303 19.827714415 19.86266799684 20.557987022
30 1270432 1270432 8814880 19.525671997 21.0167140825 20.92115575514 22.782886017
31 1270432 1270432 8814880 19.422496655 20.5774930275 20.53743967891 21.727474311
32 1270432 1270432 8814880 19.352244678 21.3441567755 21.13113063845 21.823618745
