matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 3.409383331 3.665030713 3.66529179704 4.130554174
sprand_sdd!/1e7 10000000 10000000 49984105 40.334326814 42.239449852 42.12535069287 44.381166775
Bourchtein/atmosmodd 1270432 1270432 8814880 3.437823131 3.6259718265 3.66195480293 4.181733849
Sandia/ASIC_680ks 682712 682712 2329176 1.220579406 1.39062858 1.40418062704 1.634915909
Freescale/circuit5M_dc 3523317 3523317 19194193 7.219578019 7.8807365585 7.888322530520001 8.601838296
Janna/CoupCons3D 416800 416800 22322336 32.52699659 33.3700521155 33.434337018 35.403087395
Fluorem/RM07R 381689 381689 37464962 219.457168434 230.679730283 231.04863840067 243.387916593
Martin/marine1 400320 400320 6226538 3.997889188 4.242980488 4.24876905531 4.510502098
CEMW/tmt_unsym 917825 917825 4584801 1.547236654 1.7403783115 1.75314215823 1.991590756
VLSI/vas_stokes_1M 1090664 1090664 34767207 252.592919563 263.894534487 264.84620194753 297.802082699
