matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 1.23501809 1.3290208935 1.33201735166 1.428656385
sprand_sdd!/1e7 10000000 10000000 49984105 15.117353217 15.706648521 16.20095763415 19.327732518
Bourchtein/atmosmodd 1270432 1270432 8814880 2.391189652 2.9600637545 2.8313132738499998 3.105046731
Sandia/ASIC_680ks 682712 682712 2329176 1.213282988 1.292742283 1.29108027991 1.384715087
Freescale/circuit5M_dc 3523317 3523317 19194193 7.564833481 7.739321203 7.77324973291 8.316229987
Janna/CoupCons3D 416800 416800 22322336 2.199187881 2.4627659765 2.50024013049 3.002391915
Fluorem/RM07R 381689 381689 37464962 4.982828988 5.408668658 5.3521110173699995 6.15818465
Martin/marine1 400320 400320 6226538 0.968069055 1.0036588755 1.0293812326 1.344601274
CEMW/tmt_unsym 917825 917825 4584801 1.13405341 1.173859103 1.18621822864 1.257609691
VLSI/vas_stokes_1M 1090664 1090664 34767207 8.492136027 9.0063487625 8.99580847763 9.968958179
