matrix,serial,parallel 1 thread,parallel 4 threads,parallel 8 threads,parallel 16 threads,parallel 32 threads
sprand_sdd!/1e6,0.044764,4.161554,3.409383,3.312767,3.070098,3.087283
sprand_sdd!/1e7,0.526031,49.684605,40.334327,37.430864,36.976517,35.093872
Bourchtein/atmosmodd,0.032389,4.230553,3.437823,3.069911,3.058786,2.968796
Sandia/ASIC_680ks,0.014926,1.398796,1.220579,1.110103,1.137804,1.097342
Freescale/circuit5M_dc,0.113570,8.955462,7.219578,6.988874,6.847690,6.586197
Janna/CoupCons3D,0.189467,34.863878,32.526997,31.304311,30.098269,30.084216
Fluorem/RM07R,0.589917,234.107465,219.457168,213.477403,208.395682,201.535688
Martin/marine1,0.035672,4.482894,3.997889,3.747419,3.638057,3.647530
CEMW/tmt_unsym,0.016643,1.878685,1.547237,1.428167,1.457151,1.470904
VLSI/vas_stokes_1M,0.379930,272.021180,252.592920,246.013227,244.017927,242.508905
