matrix,serial,parallel 1 thread,parallel 4 threads,parallel 8 threads,parallel 16 threads,parallel 32 threads
sprand_sdd!/1e6,5.798205934,5.859804772,2.152829725,1.482542714,1.23501809,1.332843115
sprand_sdd!/1e7,64.547920315,75.09256961,29.904704153,19.714301025,15.117353217,14.166008709
Bourchtein/atmosmodd,8.134238687,10.278498224,3.926698892,2.805181057,2.391189652,2.687846463
Sandia/ASIC_680ks,3.121122938,3.971164906,1.712007581,1.424745293,1.213282988,1.281593862
Freescale/circuit5M_dc,21.894351676,31.684662594,13.572281734,9.399160127,7.564833481,7.336665525
Janna/CoupCons3D,12.570964197,20.223513115,6.227850355,4.148161183,2.199187881,2.277933981
Fluorem/RM07R,22.012671487,33.7211483,12.981086184,7.034282226,4.982828988,5.601067449
Martin/marine1,4.30718954,5.849073703,2.18997097,1.336424151,0.968069055,1.049922901
CEMW/tmt_unsym,4.879280315,5.204721769,1.799888123,1.335992177,1.13405341,1.16706753
VLSI/vas_stokes_1M,21.185981888,40.936012221,18.610570235,12.614424478,8.492136027,8.494094997
