matrix,serial,parallel 1 thread,parallel 4 threads,parallel 8 threads,parallel 16 threads,parallel 32 threads
sprand_sdd!/1e6,5.798206,5.859805,2.152830,1.482543,1.235018,1.332843
sprand_sdd!/1e7,64.547920,75.092570,29.904704,19.714301,15.117353,14.166009
Bourchtein/atmosmodd,8.134239,10.278498,3.926699,2.805181,2.391190,2.687846
Sandia/ASIC_680ks,3.121123,3.971165,1.712008,1.424745,1.213283,1.281594
Freescale/circuit5M_dc,21.894352,31.684663,13.572282,9.399160,7.564833,7.336666
Janna/CoupCons3D,12.570964,20.223513,6.227850,4.148161,2.199188,2.277934
Fluorem/RM07R,22.012671,33.721148,12.981086,7.034282,4.982829,5.601067
Martin/marine1,4.307190,5.849074,2.189971,1.336424,0.968069,1.049923
CEMW/tmt_unsym,4.879280,5.204722,1.799888,1.335992,1.134053,1.167068
VLSI/vas_stokes_1M,21.185982,40.936012,18.610570,12.614424,8.492136,8.494095
