matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 0.044763668 0.045109263 0.045763743880000006 0.050189094
sprand_sdd!/1e7 10000000 10000000 49984159 0.526030934 0.528768684 0.5293262531499999 0.537590096
Bourchtein/atmosmodd 1270432 1270432 8814880 0.032389173 0.0325765495 0.03365782823 0.037871141
Sandia/ASIC_680ks 682712 682712 2329176 0.0149257 0.0151332685 0.01563103156 0.019934092
Freescale/circuit5M_dc 3523317 3523317 19194193 0.113570127 0.1143294425 0.11698506881000001 0.127441989
Janna/CoupCons3D 416800 416800 22322336 0.189466525 0.1919426325 0.19159735855 0.195744777
Fluorem/RM07R 381689 381689 37464962 0.589916533 0.590875528 0.59102955912 0.593435654
Martin/marine1 400320 400320 6226538 0.035672115 0.0361213695 0.03670371315 0.039602467
CEMW/tmt_unsym 917825 917825 4584801 0.016642856 0.0171181735 0.01799613688 0.020922
VLSI/vas_stokes_1M 1090664 1090664 34767207 0.379930294 0.3816036205 0.38253559427 0.390450226
