matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 5.798205934 5.805788174 5.80610582061 5.816766793
sprand_sdd!/1e7 10000000 10000000 49984159 64.547920315 64.5803880445 64.58045541701999 64.687052552
Bourchtein/atmosmodd 1270432 1270432 8814880 8.134238687 8.15233663 8.15191827548 8.170713075
Sandia/ASIC_680ks 682712 682712 2329176 3.121122938 3.127896401 3.12792704808 3.137438169
Freescale/circuit5M_dc 3523317 3523317 19194193 21.894351676 21.91412541 21.915071264650003 21.946733972
Janna/CoupCons3D 416800 416800 22322336 12.570964197 12.583541808 12.58382050198 12.600443951
Fluorem/RM07R 381689 381689 37464962 22.012671487 22.024217958 22.025081228610002 22.044520471
Martin/marine1 400320 400320 6226538 4.30718954 4.313688514 4.31401237942 4.322405386
CEMW/tmt_unsym 917825 917825 4584801 4.879280315 4.8941088725 4.89326575667 4.904349845
VLSI/vas_stokes_1M 1090664 1090664 34767207 21.185981888 21.2351277565 21.235174061650003 21.272441031
