matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 4.161553664 4.5021529155 4.5104113769700005 4.802855247
sprand_sdd!/1e7 10000000 10000000 49984105 49.684605143 51.304867593 51.041388064980005 52.599342324
Bourchtein/atmosmodd 1270432 1270432 8814880 4.23055327 4.3777868145 4.4071702083 4.691252481
Sandia/ASIC_680ks 682712 682712 2329176 1.398795832 1.5768671945 1.58500707625 1.763556598
Freescale/circuit5M_dc 3523317 3523317 19194193 8.955461846 9.516965905 9.479219986299999 10.498093013
Janna/CoupCons3D 416800 416800 22322336 34.86387848 35.6478549785 35.718564922 37.129778803
Fluorem/RM07R 381689 381689 37464962 234.107465216 244.326561766 244.05223597154 253.531931258
Martin/marine1 400320 400320 6226538 4.482894212 4.602800544 4.63600433438 4.867995356
CEMW/tmt_unsym 917825 917825 4584801 1.878684711 2.1096538905 2.10785620491 2.382160783
VLSI/vas_stokes_1M 1090664 1090664 34767207 272.021180307 278.813071967 279.04161924110997 288.041973281
