matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4994964 5.859804772 5.8689389345 5.86964041458 5.879426496
sprand_sdd!/1e7 10000000 10000000 49984105 75.09256961 75.3359947935 75.29531408861999 75.410408509
Bourchtein/atmosmodd 1270432 1270432 8814880 10.278498224 10.2927681935 10.29268116774 10.312014078
Sandia/ASIC_680ks 682712 682712 2329176 3.971164906 3.98321188 3.98233319129 3.994203149
Freescale/circuit5M_dc 3523317 3523317 19194193 31.684662594 31.715337718 31.71777126841 31.75330924
Janna/CoupCons3D 416800 416800 22322336 20.223513115 20.247978166 20.24914871778 20.275033634
Fluorem/RM07R 381689 381689 37464962 33.7211483 33.7591827165 33.76873594737 33.906964665
Martin/marine1 400320 400320 6226538 5.849073703 5.870239932 5.86928120107 5.891902678
CEMW/tmt_unsym 917825 917825 4584801 5.204721769 5.2223968145 5.22169516647 5.233823778
VLSI/vas_stokes_1M 1090664 1090664 34767207 40.936012221 41.0363391 41.03991317659 41.146190345
