nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 0.018798894 0.01908416 0.019167116777 0.023317106
2 1000000 1000000 4994964 0.015947353 0.0161018825 0.016201802129 0.020348921
3 1000000 1000000 4994964 0.014539146 0.014715108 0.014812350507 0.019452976
4 1000000 1000000 4994964 0.018971878 0.0191865255 0.019275460629999998 0.022561377
5 1000000 1000000 4994964 0.018926816 0.019142635 0.019237827569 0.021777333
6 1000000 1000000 4994964 0.018958389 0.019202718 0.019300520050000002 0.022892406
7 1000000 1000000 4994964 0.018788451 0.0190367475 0.019129895609 0.023129283
8 1000000 1000000 4994964 0.018693165 0.0189101395 0.019003407003 0.022287309
9 1000000 1000000 4994964 0.018652344 0.0188717525 0.018952934116 0.021581815
10 1000000 1000000 4994964 0.015802754 0.015945067 0.016032605642 0.019852747
11 1000000 1000000 4994964 0.01592028 0.0160743645 0.016175407616 0.019960267
12 1000000 1000000 4994964 0.01589351 0.016002574 0.016089907229 0.019667505
13 1000000 1000000 4994964 0.018635951 0.018867716 0.018944998399 0.022644136
14 1000000 1000000 4994964 0.015923061 0.0160526315 0.016147999016 0.018949688
15 1000000 1000000 4994964 0.018604884 0.0188230415 0.018916913491 0.022360139
16 1000000 1000000 4994964 0.015800434 0.015994084 0.016080908709 0.019006876
17 1000000 1000000 4994964 0.015891001 0.016065271 0.016163483497 0.019540475
18 1000000 1000000 4994964 0.018740656 0.01895171 0.019045243466 0.021822787
19 1000000 1000000 4994964 0.018917279 0.0191644985 0.01925717968 0.022536664
20 1000000 1000000 4994964 0.018959268 0.0191737855 0.019248418079 0.021695048
21 1000000 1000000 4994964 0.014548874 0.0147132475 0.014810760765 0.017647003
22 1000000 1000000 4994964 0.01861645 0.0188476005 0.018937485234 0.022089324
23 1000000 1000000 4994964 0.018980729 0.0191913915 0.019278571349 0.023100339
24 1000000 1000000 4994964 0.015868776 0.0160263325 0.016111912584 0.019593317
25 1000000 1000000 4994964 0.019012211 0.0191928305 0.01929968462 0.024252266
26 1000000 1000000 4994964 0.018697342 0.0189291735 0.019016640971 0.022704386
27 1000000 1000000 4994964 0.018669837 0.0188958455 0.018986831113 0.021703528
28 1000000 1000000 4994964 0.015807807 0.015949607 0.016038025812999998 0.019032819
29 1000000 1000000 4994964 0.018596488 0.018822436 0.018916349055 0.021954186
30 1000000 1000000 4994964 0.018663259 0.018878399 0.018972614545000002 0.021737866
31 1000000 1000000 4994964 0.018679596 0.0189063645 0.019003661342 0.021891423
32 1000000 1000000 4994964 0.01866886 0.018907635 0.018996961527 0.022014933
