nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 0.016473935 0.016693679 0.016780864551 0.021117817
2 1000000 1000000 4994964 0.008274596 0.0083701735 0.008460599281999999 0.016029362
3 1000000 1000000 4994964 0.005401613 0.005526949 0.005688993041 0.014587316
4 1000000 1000000 4994964 0.004294834 0.0044000135 0.004512042264999999 0.013395835
5 1000000 1000000 4994964 0.003459082 0.0034969305 0.003623895264 0.010950945
6 1000000 1000000 4994964 0.003348179 0.003444483 0.003549343624 0.011537943
7 1000000 1000000 4994964 0.002424033 0.002473127 0.002597529074 0.009844138
8 1000000 1000000 4994964 0.002115897 0.002189393 0.002271723318 0.008319171
9 1000000 1000000 4994964 0.001880975 0.001924799 0.002014749121 0.007817318
10 1000000 1000000 4994964 0.00170937 0.0017571155 0.001884903677 0.006163159
11 1000000 1000000 4994964 0.001555132 0.0015815625 0.001716719233 0.007741724
12 1000000 1000000 4994964 0.001426521 0.00146819 0.001564129924 0.005294944
13 1000000 1000000 4994964 0.001324691 0.0013466205 0.0014672411399999999 0.005495152
14 1000000 1000000 4994964 0.001468871 0.001498549 0.001641520117 0.00619043
15 1000000 1000000 4994964 0.001190997 0.001212035 0.001311637687 0.005402145
16 1000000 1000000 4994964 0.001292334 0.0013131815 0.001429735412 0.005038657
17 1000000 1000000 4994964 0.001060731 0.0010845895 0.0012391970989999999 0.005584126
18 1000000 1000000 4994964 0.001165595 0.0011833645 0.0013024558 0.005386199
19 1000000 1000000 4994964 0.001103334 0.001123268 0.001229625391 0.004513136
20 1000000 1000000 4994964 0.000936266 0.0009688445 0.001124222079 0.004618821
21 1000000 1000000 4994964 0.000882307 0.000905005 0.001034672701 0.004888576
22 1000000 1000000 4994964 0.000966838 0.001267447 0.001251583284 0.005045545
23 1000000 1000000 4994964 0.000920767 0.0012079795 0.001200082601 0.004384783
24 1000000 1000000 4994964 0.000784931 0.0010265305 0.001082000238 0.004144405
25 1000000 1000000 4994964 0.000757563 0.000986645 0.001046627654 0.004355778
26 1000000 1000000 4994964 0.001062259 0.001105407 0.001233636724 0.005406084
27 1000000 1000000 4994964 0.001060763 0.0016113865 0.001713357317 0.006653692
28 1000000 1000000 4994964 0.000972526 0.001010173 0.0011137518659999999 0.005021612
29 1000000 1000000 4994964 0.001207134 0.0014036405 0.0014904516529999998 0.00616992
30 1000000 1000000 4994964 0.000819748 0.0008824585 0.000987192922 0.004426121
31 1000000 1000000 4994964 0.000776696 0.000830768 0.000954075495 0.003934289
32 1000000 1000000 4994964 0.000712879 0.000792785 0.0009648547589999999 0.004060832
