nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 47.194165262 47.2543795635 47.251277939139996 47.356698475
2 10000000 10000000 49984105 28.712511528 28.8327155195 28.84422431169 29.036310368
3 10000000 10000000 49984105 24.354468737 24.515379859 24.50782452675 24.674892618
4 10000000 10000000 49984105 21.055539122 21.267028867 21.25250607977 21.557987225
5 10000000 10000000 49984105 18.562794753 18.8175671965 18.81224824673 18.990144897
6 10000000 10000000 49984105 17.959396486 18.382037936 18.40898398343 18.68713263
7 10000000 10000000 49984105 17.260976374 17.682689496 17.6884505906 17.988693746
8 10000000 10000000 49984105 17.183669266 17.8257056195 17.7076638688 17.971239936
9 10000000 10000000 49984105 16.975437937 17.48698521 17.427790625060002 17.671874554
10 10000000 10000000 49984105 16.431702164 16.931451812 16.860025100959998 17.133144524
11 10000000 10000000 49984105 16.235409836 16.809498462 16.73507931936 17.098717015
12 10000000 10000000 49984105 16.058440579 16.795437298 16.74408217518 17.072517367
13 10000000 10000000 49984105 16.186089127 16.980437337 16.86220380412 17.326623907
14 10000000 10000000 49984105 16.022625371 16.9268404005 16.82636008308 17.159892555
15 10000000 10000000 49984105 15.850276985 16.437033169 16.3308286829 16.544677674
16 10000000 10000000 49984105 15.472565334 16.3715424025 16.24418062494 16.614309578
17 10000000 10000000 49984105 15.821098826 16.741108912 16.64025360708 16.965524317
18 10000000 10000000 49984105 15.522482188 16.49816469 16.401414847 16.734256048
19 10000000 10000000 49984105 15.626080992 16.4888825715 16.35826508314 16.69164492
20 10000000 10000000 49984105 15.461340138 16.2723830795 16.181552580600002 16.86103927
21 10000000 10000000 49984105 15.151494013 16.3210889505 16.16982910706 16.684886724
22 10000000 10000000 49984105 16.086230813 16.8611539415 16.70608960535 17.07795424
23 10000000 10000000 49984105 15.164819697 15.877012401 15.82495604652 16.476362246
24 10000000 10000000 49984105 16.024576745 16.882972501 16.75560077636 17.028214159
25 10000000 10000000 49984105 15.634180325 16.6557735925 16.554590400549998 16.899834994
26 10000000 10000000 49984105 15.735265307 16.585253353 16.5011701905 16.880194557
27 10000000 10000000 49984105 15.789479156 17.0034642605 16.87799489484 17.286868138
28 10000000 10000000 49984105 15.521019221 16.4335879965 16.40560878597 16.64356053
29 10000000 10000000 49984105 15.643504896 16.2341395 16.194309517049998 16.572292871
30 10000000 10000000 49984105 15.517404077 16.7608078855 16.58914065312 16.955160723
31 10000000 10000000 49984105 15.382161622 16.1955652605 16.09682203945 16.512467922
32 10000000 10000000 49984105 15.790812786 16.5454272505 16.46170232858 16.796244755
