nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 49.262933977 49.297323853 49.30238079081 49.435138656
2 10000000 10000000 49984105 27.287637917 28.0542310565 27.74083541707 28.150880563
3 10000000 10000000 49984105 23.081684796 23.4067394675 23.39851353776 24.082667374
4 10000000 10000000 49984105 19.30511422 19.3509565605 19.38015789336 19.866024313
5 10000000 10000000 49984105 17.442532984 17.644353642 17.64622445411 17.815712178
6 10000000 10000000 49984105 16.527359031 16.773152751 16.83589027982 17.605074347
7 10000000 10000000 49984105 15.681998624 16.3050970925 16.213524672680002 16.409418978
8 10000000 10000000 49984105 15.496974318 15.9199532355 15.90347160329 16.060370864
9 10000000 10000000 49984105 15.176401112 15.888533784 15.83448498098 16.263978932
10 10000000 10000000 49984105 14.719188577 15.614738118 15.49756923878 15.741642102
11 10000000 10000000 49984105 14.932643656 15.6332681 15.59564712477 16.041992163
12 10000000 10000000 49984105 14.39380982 15.143578808 15.10952981935 15.448755331
13 10000000 10000000 49984105 14.649217691 15.527261055 15.447415187239999 16.312849354
14 10000000 10000000 49984105 14.508027642 15.672923528 15.59187576305 16.549095798
15 10000000 10000000 49984105 14.567056696 15.412158634 15.307499329479999 15.500988579
16 10000000 10000000 49984105 13.984683201 15.3532721155 15.16770685875 15.428651396
17 10000000 10000000 49984105 13.655479767 14.7515617085 14.621290766129999 14.874586258
18 10000000 10000000 49984105 14.511034077 15.686934899 15.61562887717 16.099130146
19 10000000 10000000 49984105 13.925932375 14.8758416675 14.752415425059999 14.973223686
20 10000000 10000000 49984105 13.778282893 14.9101837275 14.763694582209999 15.389905769
21 10000000 10000000 49984105 13.885346144 14.945399724 14.807871818559999 15.002956788
22 10000000 10000000 49984105 13.972750258 14.932696435 14.78833058225 15.102478382
23 10000000 10000000 49984105 13.922521 15.1329798495 14.91793971262 15.211771825
24 10000000 10000000 49984105 14.195563514 15.153433205 14.97067971169 15.333528752
25 10000000 10000000 49984105 13.927047161 15.158095493 14.950952644200001 15.528484805
26 10000000 10000000 49984105 13.801441463 14.678325188 14.56415208018 15.286588746
27 10000000 10000000 49984105 13.966520992 15.178055466 15.04195150416 15.524421435
28 10000000 10000000 49984105 13.984011883 15.2131150615 15.02507599899 15.493935767
29 10000000 10000000 49984105 13.836755157 14.924110072 14.772454048950001 15.136251073
30 10000000 10000000 49984105 13.579943217 14.649696056 14.509834730469999 14.85305811
31 10000000 10000000 49984105 13.997184055 14.9638042395 14.83100078768 15.25784329
32 10000000 10000000 49984105 13.627168266 14.678889883 14.563517064629998 14.776163029
