nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 3.179874633 3.198196284 3.19721370971 3.211904949
2 1000000 1000000 4994964 2.240578273 2.356817924 2.4557718052600004 3.132419016
3 1000000 1000000 4994964 2.433868787 2.48637097 2.48745027823 2.599372063
4 1000000 1000000 4994964 2.424196008 2.4845778875 2.49192226325 2.686624541
5 1000000 1000000 4994964 2.211849529 2.216437039 2.22033357742 2.299115148
6 1000000 1000000 4994964 2.259324441 2.269770609 2.27645088518 2.37080724
7 1000000 1000000 4994964 2.099882457 2.312497348 2.2984187317399996 2.435211081
8 1000000 1000000 4994964 2.136817732 2.15540936 2.16276161472 2.264242993
9 1000000 1000000 4994964 2.061779657 2.0727424555 2.11418905452 2.402843663
10 1000000 1000000 4994964 2.100262948 2.1168475535 2.12939478852 2.285055855
11 1000000 1000000 4994964 2.034728956 2.05033224 2.1037754567599998 2.319255052
12 1000000 1000000 4994964 2.058490636 2.107518602 2.1117970643499997 2.18384325
13 1000000 1000000 4994964 2.030652079 2.1328487195 2.12096518647 2.239425661
14 1000000 1000000 4994964 2.075450815 2.137135496 2.13369637086 2.201356493
15 1000000 1000000 4994964 2.039678633 2.1589331785 2.14298130699 2.359981394
16 1000000 1000000 4994964 2.077556896 2.100871852 2.11846267948 2.286932432
17 1000000 1000000 4994964 2.088558776 2.2230500215 2.2035498089899996 2.281915322
18 1000000 1000000 4994964 2.143259639 2.1622589465 2.17309348647 2.249771099
19 1000000 1000000 4994964 2.101573585 2.1580743235 2.1789902774299996 2.245745711
20 1000000 1000000 4994964 2.122122771 2.161733738 2.16188488866 2.318606713
21 1000000 1000000 4994964 1.987121856 2.114947182 2.1277222401900002 2.195393198
22 1000000 1000000 4994964 2.102973543 2.1403661645 2.14132023444 2.202554619
23 1000000 1000000 4994964 2.13939158 2.1966402505 2.17888347263 2.230930145
24 1000000 1000000 4994964 2.13087482 2.1642223975 2.17353630871 2.240668519
25 1000000 1000000 4994964 2.099491782 2.1147371325 2.12082294045 2.183623649
26 1000000 1000000 4994964 2.136212731 2.148735153 2.15008191949 2.188448941
27 1000000 1000000 4994964 2.156025305 2.166249789 2.16964154481 2.256467981
28 1000000 1000000 4994964 2.118050975 2.1640005205 2.2536135705500002 2.627915012
29 1000000 1000000 4994964 2.14208205 2.2099960985 2.22552374278 2.697184693
30 1000000 1000000 4994964 2.143790585 2.175551628 2.17546982866 2.354814847
31 1000000 1000000 4994964 2.106880439 2.153129453 2.14997301165 2.282800902
32 1000000 1000000 4994964 2.140544627 2.166795353 2.1695540376799998 2.305423812
