nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 3.206792876 3.2216979315 3.2209164634899996 3.247411478
2 1000000 1000000 4994964 2.776025766 2.807126357 2.80851410397 2.829772742
3 1000000 1000000 4994964 2.758885069 2.7736759375 2.7729902698499997 2.814234293
4 1000000 1000000 4994964 2.638375524 2.6815418355 2.6843566498800002 2.923140815
5 1000000 1000000 4994964 2.592459586 2.611817653 2.61126382517 2.650708587
6 1000000 1000000 4994964 2.538879873 2.553161498 2.5553813552399998 2.727274819
7 1000000 1000000 4994964 2.486692417 2.504081581 2.50497891139 2.548742328
8 1000000 1000000 4994964 2.456637553 2.479755723 2.4859471372399997 2.637991705
9 1000000 1000000 4994964 2.411015826 2.46261421 2.4607351248600002 2.560225656
10 1000000 1000000 4994964 2.419317728 2.4355725735 2.43671721184 2.472356215
11 1000000 1000000 4994964 2.383960501 2.4283340225 2.42992340789 2.493079055
12 1000000 1000000 4994964 2.386413714 2.414450739 2.41426001236 2.464240292
13 1000000 1000000 4994964 2.395697403 2.4082617535 2.41149307371 2.530481612
14 1000000 1000000 4994964 2.376035403 2.3923837135 2.39256236113 2.463525639
15 1000000 1000000 4994964 2.363989047 2.3797608405 2.38272142771 2.481445541
16 1000000 1000000 4994964 2.294488612 2.373022353 2.3763908598000003 2.546148984
17 1000000 1000000 4994964 2.335678764 2.3471481375 2.3497691288099998 2.414277237
18 1000000 1000000 4994964 2.37057833 2.385872775 2.39240999646 2.591596512
19 1000000 1000000 4994964 2.31059223 2.324371227 2.3264001315700003 2.399286949
20 1000000 1000000 4994964 2.297952421 2.315000291 2.3186308595 2.435690558
21 1000000 1000000 4994964 2.319713315 2.328159861 2.3312699350900004 2.401335386
22 1000000 1000000 4994964 2.323325583 2.337021064 2.33858512791 2.376271856
23 1000000 1000000 4994964 2.315139511 2.333135859 2.33620775195 2.448791456
24 1000000 1000000 4994964 2.29345699 2.322336247 2.32291815991 2.410112819
25 1000000 1000000 4994964 2.351038669 2.364341253 2.36736164079 2.447768623
26 1000000 1000000 4994964 2.337487184 2.352049057 2.35709658077 2.486060219
27 1000000 1000000 4994964 2.288874206 2.3102052155 2.3115076333699998 2.384563382
28 1000000 1000000 4994964 2.30109743 2.317842022 2.34730465556 2.684415234
29 1000000 1000000 4994964 2.339335963 2.355449833 2.36083362604 2.620576909
30 1000000 1000000 4994964 2.292145363 2.308621852 2.31215493393 2.45148868
31 1000000 1000000 4994964 2.296653956 2.307469391 2.3096122919099997 2.378730178
32 1000000 1000000 4994964 2.298578611 2.350393022 2.34788019338 2.439362746
