nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 2.756424114 2.7875133425 2.78766485978 2.803754781
2 1000000 1000000 4994964 2.132809615 2.141023429 2.14153421479 2.152944476
3 1000000 1000000 4994964 2.031082483 2.035599279 2.03636174045 2.049361189
4 1000000 1000000 4994964 1.950527698 1.9581360505 1.9591440975 1.974201676
5 1000000 1000000 4994964 1.859052619 1.865250244 1.8647528431 1.880746005
6 1000000 1000000 4994964 1.848114246 1.852116817 1.85378637581 1.877647059
7 1000000 1000000 4994964 1.830022987 1.8337125415 1.83433057137 1.843115041
8 1000000 1000000 4994964 1.833437129 1.8395874415 1.84011515617 1.849509696
9 1000000 1000000 4994964 1.817819948 1.824381363 1.8248371823599998 1.832847363
10 1000000 1000000 4994964 1.821355479 1.833830243 1.83394922681 1.842482675
11 1000000 1000000 4994964 1.855360653 1.861867313 1.8626277033499998 1.871769962
12 1000000 1000000 4994964 1.799071981 1.803362676 1.80358706431 1.810229273
13 1000000 1000000 4994964 1.781998171 1.7845403035 1.78540872855 1.795650381
14 1000000 1000000 4994964 1.830970775 1.8426391415 1.8419365081199999 1.854947571
15 1000000 1000000 4994964 1.795480413 1.803787876 1.80417314897 1.832573157
16 1000000 1000000 4994964 1.789699579 1.8023020365 1.802637497 1.80805342
17 1000000 1000000 4994964 1.810667183 1.8259624195 1.82643629557 1.833771323
18 1000000 1000000 4994964 1.794558187 1.797644605 1.79793728417 1.803489788
19 1000000 1000000 4994964 1.791353926 1.802062503 1.80185127768 1.806827522
20 1000000 1000000 4994964 1.80978135 1.814913375 1.84438288379 2.041588754
21 1000000 1000000 4994964 1.786442285 1.7904879255 1.7907281715399999 1.79883638
22 1000000 1000000 4994964 1.834272766 1.840097994 1.84018722986 1.846399639
23 1000000 1000000 4994964 1.81583772 1.8336935425 1.8340539096400001 1.864637242
24 1000000 1000000 4994964 1.779051374 1.797866526 1.7965114488 1.804543525
25 1000000 1000000 4994964 1.802829691 1.8060588055 1.80628452899 1.815106084
26 1000000 1000000 4994964 1.795760148 1.8131896985 1.81336777717 1.819669846
27 1000000 1000000 4994964 1.804137502 1.8078329565 1.8082049709 1.816395385
28 1000000 1000000 4994964 1.809902236 1.8145198705 1.8142179725999998 1.824154798
29 1000000 1000000 4994964 1.784990293 1.789284986 1.79423084005 1.815464315
30 1000000 1000000 4994964 1.798429878 1.8076198 1.80797989285 1.816926822
31 1000000 1000000 4994964 1.820973184 1.8676943465 1.8670341208199999 1.876044326
32 1000000 1000000 4994964 1.869082383 1.911301197 1.9111074271300001 1.919883598
