nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 4.158495747 4.181630899 4.18129574858 4.205270044
2 1000000 1000000 4994964 2.468797867 2.4993610955 2.502954266033 2.838535977
3 1000000 1000000 4994964 2.065845767 2.1277925005 2.153610765177 2.281245366
4 1000000 1000000 4994964 1.789512403 1.8248814555 1.827206052337 1.881097987
5 1000000 1000000 4994964 1.554706217 1.5661514635 1.5661707452590001 1.590977417
6 1000000 1000000 4994964 1.48555707 1.5008624925 1.501199713637 1.544718783
7 1000000 1000000 4994964 1.394401951 1.4130494975 1.4134903326630002 1.438022014
8 1000000 1000000 4994964 1.382681443 1.4127357485 1.413665708232 1.517668199
9 1000000 1000000 4994964 1.321835331 1.4114936585 1.410094605155 1.483455679
10 1000000 1000000 4994964 1.323921518 1.387589588 1.3873823114260002 1.454819008
11 1000000 1000000 4994964 1.299743146 1.373863646 1.3721001000520001 1.390960562
12 1000000 1000000 4994964 1.287800563 1.349862197 1.352158620963 1.420686693
13 1000000 1000000 4994964 1.281742291 1.345436996 1.3493946808069999 1.463734044
14 1000000 1000000 4994964 1.258434875 1.319899983 1.324011699641 1.406673908
15 1000000 1000000 4994964 1.226273681 1.332543992 1.328272438078 1.378636631
16 1000000 1000000 4994964 1.277746619 1.333535445 1.337660262671 1.468389848
17 1000000 1000000 4994964 1.289101186 1.3766637015 1.3723844363929998 1.464524037
18 1000000 1000000 4994964 1.270797735 1.3163767075 1.320477431233 1.390809917
19 1000000 1000000 4994964 1.255000562 1.3450216515 1.336949177057 1.403208567
20 1000000 1000000 4994964 1.286960342 1.325402763 1.330212512415 1.430773441
21 1000000 1000000 4994964 1.286022326 1.3724159215 1.367154815585 1.421321351
22 1000000 1000000 4994964 1.274307798 1.3127663425 1.314571917773 1.365554525
23 1000000 1000000 4994964 1.22996694 1.3387001435 1.331691646221 1.439517581
24 1000000 1000000 4994964 1.240191152 1.3322691325 1.35374675873 1.435323992
25 1000000 1000000 4994964 1.299478475 1.331821764 1.3348346844730001 1.420384729
26 1000000 1000000 4994964 1.290355642 1.3340813295 1.3423972088940002 1.450420758
27 1000000 1000000 4994964 1.274159363 1.331502074 1.326784559614 1.430336219
28 1000000 1000000 4994964 1.282213704 1.328922652 1.341131990866 1.784430477
29 1000000 1000000 4994964 1.303502618 1.35961239 1.357524022015 1.776029526
30 1000000 1000000 4994964 1.309321586 1.3994610735 1.3939361603440001 1.841949944
31 1000000 1000000 4994964 1.288310535 1.372105828 1.3681103324260002 1.518832897
32 1000000 1000000 4994964 1.284554724 1.3752205795 1.375350085931 1.445060618
