nthreads nrows ncols nnz min med mean max
1 1000000 1000000 4994964 3.319021083 3.3361107405 3.3374439437529997 3.353385186
2 1000000 1000000 4994964 2.809700622 2.821477435 2.8211640165809997 2.833329533
3 1000000 1000000 4994964 3.121032673 3.138005574 3.138514622725 3.199367053
4 1000000 1000000 4994964 3.138500716 3.1809605605 3.183810390131 3.3309777
5 1000000 1000000 4994964 3.037022108 3.0450783975 3.046053557486 3.116471006
6 1000000 1000000 4994964 3.122706153 3.1554042325 3.1564238959060003 3.246574086
7 1000000 1000000 4994964 3.025868074 3.0335663305 3.035260993769 3.109179065
8 1000000 1000000 4994964 3.024618962 3.0641382665 3.06786700863 3.21158747
9 1000000 1000000 4994964 3.039134004 3.047278532 3.047658273653 3.114641595
10 1000000 1000000 4994964 3.1098364 3.151694185 3.1524863359169997 3.220689117
11 1000000 1000000 4994964 3.046876838 3.059808092 3.060389892763 3.143532921
12 1000000 1000000 4994964 3.088963236 3.1222853415 3.122629160476 3.185525328
13 1000000 1000000 4994964 3.039328308 3.045081672 3.046273592756 3.119257333
14 1000000 1000000 4994964 3.030227978 3.061919463 3.0746953896030003 3.172697925
15 1000000 1000000 4994964 3.02911038 3.037980888 3.039574446769 3.253699001
16 1000000 1000000 4994964 3.072088883 3.09594092 3.1041271937449997 3.380558845
17 1000000 1000000 4994964 3.071959162 3.087389396 3.0888864432950003 3.355537969
18 1000000 1000000 4994964 3.082044467 3.1374524345 3.13795151334 3.258495185
19 1000000 1000000 4994964 3.09695196 3.119684474 3.11974022177 3.214636881
20 1000000 1000000 4994964 3.098903124 3.122508133 3.131670788687 3.363168895
21 1000000 1000000 4994964 3.125321796 3.144781222 3.144802921877 3.171839251
22 1000000 1000000 4994964 3.087099671 3.109108409 3.117259732801 3.559719476
23 1000000 1000000 4994964 3.074588248 3.116138654 3.119040023513 3.409063404
24 1000000 1000000 4994964 3.079942521 3.1245841975 3.133336407579 3.531171765
25 1000000 1000000 4994964 3.06672472 3.1026317715 3.10603174106 3.393307983
26 1000000 1000000 4994964 3.052939397 3.1666261315 3.157839195244 3.451049148
27 1000000 1000000 4994964 3.111848206 3.1413366085 3.14151189788 3.185064213
28 1000000 1000000 4994964 3.155139093 3.1936323095 3.192239736362 3.247412548
29 1000000 1000000 4994964 3.112069962 3.1649769905 3.166411332149 3.219804399
30 1000000 1000000 4994964 3.111644913 3.157027196 3.157196315454 3.211085444
31 1000000 1000000 4994964 3.112602195 3.180551603 3.1830009278460003 3.45232147
32 1000000 1000000 4994964 3.136266831 3.157973576 3.158476927072 3.351099813
