nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 29.903062685 29.9631661485 30.03674795347 30.389279811
2 10000000 10000000 49984105 17.236274486 17.2970208075 17.29730664668 17.40813581
3 10000000 10000000 49984105 13.810012968 13.8654887345 13.87514142266 14.171095396
4 10000000 10000000 49984105 11.808279648 11.8501391835 11.87609044866 12.219458396
5 10000000 10000000 49984105 10.492403117 10.9030673515 10.95245162991 11.60268755
6 10000000 10000000 49984105 10.066106605 10.1719655215 10.18075391025 10.579435995
7 10000000 10000000 49984105 9.787852503 10.136659048 10.148353403280002 10.461303478
8 10000000 10000000 49984105 9.38750282 9.582311458 9.58793847611 9.973557705
9 10000000 10000000 49984105 9.196445443 9.3640497455 9.364263294459999 9.539287113
10 10000000 10000000 49984105 9.121297951 9.44268151 9.45024708965 10.073515393
11 10000000 10000000 49984105 8.732426686 9.1892976025 9.26434135147 10.522108212
12 10000000 10000000 49984105 8.849012585 9.155932146 9.150501689959999 9.455180369
13 10000000 10000000 49984105 8.539817245 9.1332384695 9.08519431605 9.307693782
14 10000000 10000000 49984105 8.46594128 8.9479745665 8.93759587492 9.276406681
15 10000000 10000000 49984105 8.756236522 9.206445866 9.15342796999 9.4534938
16 10000000 10000000 49984105 8.362221048 8.778808076 8.75456754075 8.981389487
17 10000000 10000000 49984105 8.492129311 9.0447793285 9.019501745889999 9.17527862
18 10000000 10000000 49984105 8.255724645 8.617693441 8.67064387277 9.849890074
19 10000000 10000000 49984105 8.250970316 8.6806543945 8.652123023 9.427507176
20 10000000 10000000 49984105 8.294481553 8.761332175 8.74407814335 8.882847121
21 10000000 10000000 49984105 8.366558158 8.790299026 8.75752572281 8.955002042
22 10000000 10000000 49984105 8.107825649 8.5115415575 8.50327899397 8.794984875
23 10000000 10000000 49984105 8.238177029 8.719896131 8.66412326998 8.919810347
24 10000000 10000000 49984105 8.29206702 8.662664896 8.646530411059999 8.961162613
25 10000000 10000000 49984105 8.200797825 8.619075518 8.593500174819999 8.768676137
26 10000000 10000000 49984105 8.271869171 8.6670182505 8.66058283115 8.947049274
27 10000000 10000000 49984105 8.105428633 8.659899799 8.60659170966 8.910563878
28 10000000 10000000 49984105 8.088441646 8.5053907315 8.46862974023 8.78690008
29 10000000 10000000 49984105 8.30220771 8.8361245465 8.81652415998 9.105356745
30 10000000 10000000 49984105 8.148589668 8.676636144 8.651100257209999 9.141536853
31 10000000 10000000 49984105 8.532435534 8.7865859235 8.80321107214 9.062827464
32 10000000 10000000 49984105 8.048006143 8.462351696 8.47418112407 8.892337839
