nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 45.309422367 45.347774041 45.34675203395 45.447105787
2 10000000 10000000 49984105 31.446917841 31.5164319365 31.51882948453 31.653592393
3 10000000 10000000 49984105 29.934107697 30.1981450675 30.225203541459997 30.605170387
4 10000000 10000000 49984105 27.729963444 27.876467878 27.874043791650003 28.099392659
5 10000000 10000000 49984105 26.203549617 26.3828079145 26.38137919065 26.710612296
6 10000000 10000000 49984105 25.874856955 26.24037304 26.22917508922 26.403010981
7 10000000 10000000 49984105 25.416463408 25.759787174 25.87304357963 27.451704105
8 10000000 10000000 49984105 25.305626937 25.518445188 25.484632398189998 25.578550609
9 10000000 10000000 49984105 25.698752361 26.1689463595 26.117372883319998 26.243303693
10 10000000 10000000 49984105 25.103248447 25.555821411 25.53084132782 25.76230158
11 10000000 10000000 49984105 25.107592895 25.470495238 25.467652775580003 25.990792031
12 10000000 10000000 49984105 24.965762307 25.5072557195 25.47596843497 25.704618285
13 10000000 10000000 49984105 25.092914121 25.528734718 25.5174662725 25.750711589
14 10000000 10000000 49984105 24.724578606 25.2576703025 25.232422181540002 25.640311439
15 10000000 10000000 49984105 24.891481286 25.2630934045 25.23306434876 25.995526856
16 10000000 10000000 49984105 24.784622709 25.3350908745 25.287012307119998 25.514196328
17 10000000 10000000 49984105 24.958439135 25.650541906 25.66110106452 26.300419249
18 10000000 10000000 49984105 25.304614379 25.73793423 25.7285613593 26.793103821
19 10000000 10000000 49984105 24.342831364 25.3267038675 25.25435133597 25.934693581
20 10000000 10000000 49984105 24.446696514 25.0865024105 25.0308684291 25.1486628
21 10000000 10000000 49984105 24.594207418 24.9062889735 24.8661640589 25.136768237
22 10000000 10000000 49984105 24.438489179 24.9936810015 24.95264875361 25.108082433
23 10000000 10000000 49984105 24.627654337 25.222455442 25.271630161740003 25.711558348
24 10000000 10000000 49984105 25.143889832 25.7581848785 25.70705459469 25.942262453
25 10000000 10000000 49984105 24.98259848 25.7487425605 25.694810621080002 25.949704791
26 10000000 10000000 49984105 25.224779881 25.8674314515 25.8521898605 26.215484681
27 10000000 10000000 49984105 24.881022663 25.3506335625 25.35072758386 26.146003637
28 10000000 10000000 49984105 24.704548301 25.167551071 25.12762220441 25.270807977
29 10000000 10000000 49984105 24.555826793 25.3810481255 25.44991332482 27.949192563
30 10000000 10000000 49984105 24.335256441 25.179782937 25.08464489044 25.248328751
31 10000000 10000000 49984105 24.457448253 25.006893025 24.99943187868 25.964947977
32 10000000 10000000 49984105 24.766936174 25.508453769 25.49079547957 25.941366826
