matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4995030 1.807879956 1.8316058475 1.83142468363 1.854873301
sprand_sdd!/1e7 10000000 10000000 49984353 19.07762422 19.27799654 19.28180983297 19.562569696
Bourchtein/atmosmodd 1270432 1270432 8814880 2.485940153 2.5352355395 2.53267973404 2.605854573
Sandia/ASIC_680ks 682712 682712 2329176 1.048631322 1.0535369335 1.0550972256 1.077978369
Freescale/circuit5M_dc 3523317 3523317 19194193 6.666276751 6.720466032 6.72034541843 6.770920093
Janna/CoupCons3D 416800 416800 22322336 1.716486504 1.7271202165 1.73158387061 1.902238507
Fluorem/RM07R 381689 381689 37464962 2.40368282 2.448080421 2.45947573677 2.696541065
Martin/marine1 400320 400320 6226538 0.784906048 0.791548504 0.7922685625599999 0.81210048
CEMW/tmt_unsym 917825 917825 4584801 1.689520212 1.699071241 1.70122721268 1.729760552
VLSI/vas_stokes_1M 1090664 1090664 34767207 5.325873779 5.352220354 5.36046976125 5.552781444
