matrix,1 thread,4 threads,8 threads,16 threads,32 threads
sprand_sdd!/1e6,3.314143246,1.807879956,1.400308504,1.275582921,1.32469622
sprand_sdd!/1e7,38.472212195,19.07762422,15.319798484,14.030962835,13.448006322
Bourchtein/atmosmodd,4.685547515,2.485940153,1.858489128,1.717488204,1.705686883
Sandia/ASIC_680ks,2.112762165,1.048631322,0.840363853,0.733426998,0.79424059
Freescale/circuit5M_dc,13.636690728,6.666276751,5.339893278,4.952439664,4.759438302
Janna/CoupCons3D,4.907826809,1.716486504,1.00855541,0.748234958,0.816691548
Fluorem/RM07R,7.777998933,2.40368282,1.34934509,0.858612961,0.891453656
Martin/marine1,2.077044418,0.784906048,0.563966649,0.468162831,0.499563001
CEMW/tmt_unsym,3.064602038,1.689520212,1.231159461,1.20807895,1.182582103
VLSI/vas_stokes_1M,9.128270073,5.325873779,3.367115642,2.354229106,2.003305092
