matrix nrows ncols nnz min med mean max
sprand_sdd!/1e6 1000000 1000000 4995017 3.314143246 3.3220729705 3.32189744597 3.335436923
sprand_sdd!/1e7 10000000 10000000 49984175 38.472212195 38.495415771 38.499781203489995 38.62418858
Bourchtein/atmosmodd 1270432 1270432 8814880 4.685547515 4.7495720045 4.73554113876 4.778721344
Sandia/ASIC_680ks 682712 682712 2329176 2.112762165 2.1159853585 2.1185570287 2.214480618
Freescale/circuit5M_dc 3523317 3523317 19194193 13.636690728 13.666051477 13.66550300116 13.703365834
Janna/CoupCons3D 416800 416800 22322336 4.907826809 4.9124634065 4.9125509506 4.920532415
Fluorem/RM07R 381689 381689 37464962 7.777998933 7.7874266635 7.78743671331 7.799517946
Martin/marine1 400320 400320 6226538 2.077044418 2.0844156435 2.08453932889 2.090567236
CEMW/tmt_unsym 917825 917825 4584801 3.064602038 3.075683971 3.0753187351399998 3.08752272
VLSI/vas_stokes_1M 1090664 1090664 34767207 9.128270073 9.1607250315 9.15977403648 9.185242481
