nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 0.7649116874247843 0.7574815629175606 0.7568519664199118 0.6340294164854366
2 10000000 10000000 49984105 1.2862968307700888 1.2755294511715853 1.274730354258738 0.9764741891233949
3 10000000 10000000 49984105 1.576713351644902 1.5607523138836676 1.5601390722451165 1.0833069157180797
4 10000000 10000000 49984105 1.780477527386976 1.7641663999942965 1.7633034578656894 1.3919575300124198
5 10000000 10000000 49984105 2.0019622665510393 1.978785013945617 1.9777722162149933 1.567046428418257
6 10000000 10000000 49984105 2.058519250135365 2.0426825309336727 2.039813177981964 1.551777166707471
7 10000000 10000000 49984105 2.222090805498445 2.2031147028452036 2.2018432010173754 1.6343286306430123
8 10000000 10000000 49984105 2.219325008084797 2.2037281898068017 2.199959081948243 1.6665981199162907
9 10000000 10000000 49984105 2.23257835235224 2.217290681111793 2.2142224308448077 1.7429912434262231
10 10000000 10000000 49984105 2.173152084957964 2.156697643924742 2.1328578095462527 1.6435913889263427
11 10000000 10000000 49984105 2.2554326227130623 2.229200823773246 2.223505788756881 1.7095958716274189
12 10000000 10000000 49984105 2.1997473226888187 2.1797863594498925 2.174667550745015 1.6408760120428045
13 10000000 10000000 49984105 2.2619852576198896 2.245671139777583 2.239566789976093 1.6624291729631793
14 10000000 10000000 49984105 2.2521467249061766 2.2084391921713062 2.2067326186944474 1.7773454570720273
15 10000000 10000000 49984105 2.182690896679755 2.161638464369362 2.1521650019646383 1.690335278772678
16 10000000 10000000 49984105 2.2609867786108495 2.235177380610503 2.223926594262374 1.5092999878100368
17 10000000 10000000 49984105 2.214084964224623 2.1798413765767064 2.1681238783174397 1.6872354311945157
18 10000000 10000000 49984105 2.2392227551574724 2.222813653972403 2.2104561508818152 1.6541199551147499
19 10000000 10000000 49984105 2.2122775035697595 2.194419861565342 2.1795000101340074 1.501672553993433
20 10000000 10000000 49984105 2.2578111455883114 2.235434062173841 2.2281402603628613 1.7571583998825564
21 10000000 10000000 49984105 2.258829788625828 2.240367474355603 2.238423305694111 1.7635860123196725
22 10000000 10000000 49984105 2.2569024534935327 2.235647479378623 2.2172207450815917 1.495314967329767
23 10000000 10000000 49984105 2.223283881339144 2.206047463198599 2.201457625481822 1.742547512723814
24 10000000 10000000 49984105 2.23575895345016 2.219520207159521 2.2152767451123774 1.4174196952922704
25 10000000 10000000 49984105 2.247562176491221 2.2314300960756452 2.2247918428667584 1.7172331043533677
26 10000000 10000000 49984105 2.2355058715896354 2.2181847789881664 2.2126359265532303 1.3226585455009832
27 10000000 10000000 49984105 2.2614129313060167 2.2423603107544894 2.226943471112514 1.5394603144063281
28 10000000 10000000 49984105 2.201281306504217 2.1755197310028427 2.1560554707424227 1.6888064421694733
29 10000000 10000000 49984105 2.20939659916125 2.1890707813905115 2.1737381701208753 1.696210878368253
30 10000000 10000000 49984105 2.226375063992448 2.2151680660067643 2.2129289826501704 1.658578937900163
31 10000000 10000000 49984105 2.265425821680262 2.2507611427195324 2.24721601730726 1.4952552280500246
32 10000000 10000000 49984105 2.249224726930409 2.214465362955201 2.2128683963756948 1.4057245158934577
33 10000000 10000000 49984105 2.264581115556211 2.2475526260931753 2.2431609290341203 1.7761058477835288
34 10000000 10000000 49984105 2.260023259417471 2.206968203557861 2.2158201694539095 1.5333299159879066
