nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 1.105885284599259 1.0987574734115741 1.0982321038850282 1.0673264200903108
2 10000000 10000000 49984105 2.1741223740292965 2.1525508237826223 2.1499806758386555 2.0065544067991476
3 10000000 10000000 49984105 3.2286586909800827 3.181380573952081 3.0013574167632684 1.1253365741925951
4 10000000 10000000 49984105 4.170458366904032 4.117021290615593 3.801038342399555 1.7462695942660262
5 10000000 10000000 49984105 5.126263878452913 3.4521098036442286 3.35839980102254 2.086761833922638
6 10000000 10000000 49984105 6.096132182757473 4.348797841683916 4.250869938250419 2.368027423655627
7 10000000 10000000 49984105 6.993471267455571 5.077870799525759 5.1779919518922135 2.6630628408305963
8 10000000 10000000 49984105 8.1950741287526 7.9819191960928855 6.982958323203214 3.09199972732262
9 10000000 10000000 49984105 9.147258399441768 8.89691735027845 7.6999923145198546 2.8997757818526657
10 10000000 10000000 49984105 8.259919372423273 7.38261000503728 6.93527564543862 3.6233518971977547
11 10000000 10000000 49984105 10.646771250497762 8.286889337665329 7.809477027635856 4.07676119685771
12 10000000 10000000 49984105 11.690953575312456 11.216753419378604 8.857892902322165 4.4436925795139395
13 10000000 10000000 49984105 12.456464518688646 10.683044208098357 8.63478024213968 3.8735372262620995
14 10000000 10000000 49984105 13.317226354539502 10.848201995249799 9.379001601820772 3.1279497341335922
15 10000000 10000000 49984105 13.444596297149054 8.843092754797002 9.59782655247182 5.386972271226328
16 10000000 10000000 49984105 10.811204142267483 9.79938014894501 9.03403721335287 4.4988535301061585
17 10000000 10000000 49984105 15.931869281429073 8.905342584116218 9.284709716441096 4.3784062788792975
18 10000000 10000000 49984105 16.236338866596526 11.507228780167017 10.220243163358985 4.131366755973893
19 10000000 10000000 49984105 12.527594221488876 10.590080485840957 9.967645966392517 5.647189567634568
20 10000000 10000000 49984105 18.059935780124793 9.494653522520645 8.239858798684292 4.331429295873851
21 10000000 10000000 49984105 14.206160272003743 9.736575955904998 9.50814818739223 5.610336965778689
22 10000000 10000000 49984105 13.43741817370429 11.339229263425779 10.759703090638034 6.243419139154671
23 10000000 10000000 49984105 13.285292172687173 10.552732622936734 9.870849820658929 6.198034883341
24 10000000 10000000 49984105 14.697077042025397 13.005582535181693 10.970329304953026 4.899422086227648
25 10000000 10000000 49984105 13.856950243689582 10.915817687402706 10.092848054409178 5.755387561220095
26 10000000 10000000 49984105 14.917896379275021 13.744811058742005 10.759524618375357 3.6740260597009606
27 10000000 10000000 49984105 19.519029002199908 18.91163189288072 11.148522639738232 1.0383150407482333
28 10000000 10000000 49984105 17.326726169388635 14.40709809806903 11.07882881847881 3.2871748332518895
29 10000000 10000000 49984105 17.740502396882928 15.891571347192064 11.151709448323354 1.2207588850326285
30 10000000 10000000 49984105 16.06297693088972 12.638470501500379 10.632114752629517 4.027019987299574
31 10000000 10000000 49984105 19.362595645323267 16.079890030048396 11.762672286302296 1.5380695255568284
32 10000000 10000000 49984105 17.603269403166813 13.583640313656314 10.844436084399213 1.9681529161512077
33 10000000 10000000 49984105 14.9041803716913 11.670770733544481 10.854874265658625 4.110215530125332
34 10000000 10000000 49984105 14.607154463086502 10.252785901136226 9.826457324484226 4.819644116158734
35 10000000 10000000 49984105 15.077274489132616 10.167310529889397 10.318279619859483 4.331662772996701
36 10000000 10000000 49984105 15.660988745097923 11.628594174687715 9.851320373150921 3.5936515644203504
37 10000000 10000000 49984105 19.28083716243948 17.31066242997775 10.801922978648761 1.2902236223305739
38 10000000 10000000 49984105 14.807400366718198 9.337174373989717 9.115770599290162 1.5265328358328152
39 10000000 10000000 49984105 17.839341690272647 15.6651729875369 10.123935387357196 1.1224828710223764
40 10000000 10000000 49984105 22.816150389812364 21.968514820937024 8.2722064427429 0.9274411233421461
41 10000000 10000000 49984105 20.364665847067727 15.646481478104826 11.38246614699279 1.6763360811349788
42 10000000 10000000 49984105 20.283904675912304 19.09539281255799 10.06499464187912 0.6162437512122287
43 10000000 10000000 49984105 20.187461820942872 9.234066343386964 7.8311975441375985 1.7979252323082573
44 10000000 10000000 49984105 19.913902750606024 18.32603007396263 9.664359421356547 0.6579591126342706
45 10000000 10000000 49984105 18.707994915047117 16.230772696516702 9.676144527048923 0.824041210019149
46 10000000 10000000 49984105 21.17424147751703 19.568337874142035 7.614504146740503 0.4010375766421424
47 10000000 10000000 49984105 22.83110548881297 21.829479386964312 9.831826818834427 0.4501783471298633
48 10000000 10000000 49984105 19.044306189615114 14.73959750166942 8.875194581749268 0.7372633049812892
49 10000000 10000000 49984105 22.798105331093847 22.068985081147524 10.481472533950265 0.6648051080982685
50 10000000 10000000 49984105 20.883827685386198 11.587061134519589 8.87521318350588 1.4348125721168772
