nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 0.090396546 0.0909829625 0.091026486702 0.093662265
2 10000000 10000000 49984105 0.045980949 0.046441742 0.046497259777000005 0.049820832
3 10000000 10000000 49984105 0.030962768 0.031422902 0.033307665872 0.088834054
4 10000000 10000000 49984105 0.023970557 0.024281684 0.026300237197 0.057246722
5 10000000 10000000 49984105 0.019501183 0.0289585835 0.029766619796 0.047905903
6 10000000 10000000 49984105 0.016398629 0.0229875505 0.023517118014 0.042215816
7 10000000 10000000 49984105 0.014294505 0.019687033 0.019306366431 0.03753881
8 10000000 10000000 49984105 0.012198573 0.0125243325 0.014316025583 0.032331248
9 10000000 10000000 49984105 0.010928762 0.011236275 0.012982897374 0.034474462
10 10000000 10000000 49984105 0.012102807 0.013541039 0.014414453745 0.027589981
11 10000000 10000000 49984105 0.009389533 0.012063418 0.01280088406 0.024521478
12 10000000 10000000 49984105 0.008550903 0.0089124015 0.011285777678999999 0.022496653
13 10000000 10000000 49984105 0.008025408 0.009357652 0.011577389024 0.02580799
14 10000000 10000000 49984105 0.007506684 0.009215187 0.010658726189 0.03195966
15 10000000 10000000 49984105 0.007435568 0.011304666 0.010415713334000001 0.018557402
16 10000000 10000000 49984105 0.009246723 0.010201483 0.011065729267999999 0.022220819
17 10000000 10000000 49984105 0.006274732 0.0112256445 0.010766972049 0.0228321
18 10000000 10000000 49984105 0.006157066 0.008687427 0.009781392517000002 0.02419737
19 10000000 10000000 49984105 0.007979841 0.009439797 0.010029269733 0.017702294
20 10000000 10000000 49984105 0.005535358 0.010528895 0.01213227222 0.023079728
21 10000000 10000000 49984105 0.007036962 0.010267286 0.010513951616 0.017818575
22 10000000 10000000 49984105 0.00743954 0.008816138 0.009290982210000001 0.016011773
23 10000000 10000000 49984105 0.007524728 0.009473206 0.010127619386 0.016129017
24 10000000 10000000 49984105 0.006801911 0.0076865615 0.009112598831000001 0.020404082
25 10000000 10000000 49984105 0.007214301 0.0091581055 0.009904856335999999 0.017369501
26 10000000 10000000 49984105 0.006701227 0.00727316 0.009291136323 0.027209445
27 10000000 10000000 49984105 0.005121577 0.00528607 0.008966946853 0.096279266
28 10000000 10000000 49984105 0.005769596 0.0069388165 0.009023355414000001 0.030411589
29 10000000 10000000 49984105 0.005635027 0.0062906435 0.008964384381 0.081890217
30 10000000 10000000 49984105 0.006223517 0.0079098345 0.009402476584000001 0.024824364
31 10000000 10000000 49984105 0.005162955 0.006216971 0.00849876691 0.064995898
32 10000000 10000000 49984105 0.005678957 0.0073594565 0.009218387127 0.050792908
33 10000000 10000000 49984105 0.006707394 0.0085656905 0.009209522612 0.02432189
34 10000000 10000000 49984105 0.006843784 0.009750346 0.010173372427 0.020741824
35 10000000 10000000 49984105 0.00663039 0.009832316 0.009688457154 0.023078484
36 10000000 10000000 49984105 0.006383263 0.008596758 0.010147696574 0.027818003
37 10000000 10000000 49984105 0.005184848 0.00577495 0.009254667914 0.077481305
38 10000000 10000000 49984105 0.006751233 0.0107064735 0.010966512255999998 0.065487101
39 10000000 10000000 49984105 0.005603806 0.006381558 0.009874441724 0.089059898
40 10000000 10000000 49984105 0.004381467 0.004550522 0.012084830171 0.107789279
41 10000000 10000000 49984105 0.004908905 0.0063891815 0.008782649446 0.059634945
42 10000000 10000000 49984105 0.00492845 0.0052352005 0.009932266589 0.162221864
43 10000000 10000000 49984105 0.004951995 0.0108260225 0.01276537968 0.055601984
44 10000000 10000000 49984105 0.005020021 0.0054549845 0.010344007879 0.151936812
45 10000000 10000000 49984105 0.005343609 0.0061591775 0.010331409346000001 0.121314576
46 10000000 10000000 49984105 0.004721218 0.0051086715 0.013128656584 0.249273923
47 10000000 10000000 49984105 0.004378597 0.004579505 0.010167816403000001 0.222063568
48 10000000 10000000 49984105 0.005249244 0.006782289 0.011263776707 0.135593633
49 10000000 10000000 49984105 0.004384935 0.0045298055 0.009537611216 0.150372205
50 10000000 10000000 49984105 0.004786872 0.0086275725 0.011263753098999999 0.069673358
51 10000000 10000000 49984105 0.006283219 0.0083332075 0.017188897432 0.070511793
52 10000000 10000000 49984105 0.003762926 0.0063386035 0.012786784051 0.09208024
53 10000000 10000000 49984105 0.005696322 0.0161983575 0.016532639542 0.154068775
54 10000000 10000000 49984105 0.004094015 0.0046172185 0.012738006073000002 0.242321533
55 10000000 10000000 49984105 0.004338848 0.004440584 0.011011088861 0.260577721
56 10000000 10000000 49984105 0.005149546 0.007532533 0.013476340037 0.165305181
57 10000000 10000000 49984105 0.00494521 0.0060121845 0.014479982325 0.285502875
58 10000000 10000000 49984105 0.005193519 0.0071980985 0.012967517243 0.051967396
59 10000000 10000000 49984105 0.007144302 0.0089261655 0.019011968329 0.119352857
60 10000000 10000000 49984105 0.00508452 0.0076167345 0.0210339982 0.156951322
61 10000000 10000000 49984105 0.00450131 0.0065297685 0.008921076949999999 0.078949861
62 10000000 10000000 49984105 0.004326231 0.0058465645 0.009636628808 0.155569962
63 10000000 10000000 49984105 0.004577516 0.004689239 0.01005693483 0.250791683
64 10000000 10000000 49984105 0.004310472 0.0052270955 0.019221121429000003 0.272643639
65 10000000 10000000 49984105 0.004347022 0.0054175725 0.022655439027 0.261935094
66 10000000 10000000 49984105 0.004098473 0.0057883 0.009077028857000001 0.178334395
67 10000000 10000000 49984105 0.005358287 0.005859452 0.010270888274 0.288148301
68 10000000 10000000 49984105 0.005193288 0.005805339 0.008874668145 0.176169049
69 10000000 10000000 49984105 0.00446331 0.004993324 0.009582164512 0.253722955
