nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 0.9630244450710205 0.9642679750555715 0.9646427880961095 0.9769440221611172
2 10000000 10000000 49984105 1.596848030809071 1.597481991645845 1.5974354678203582 1.5993113865192354
3 10000000 10000000 49984105 1.9326965838092995 1.9223369952946914 1.8813510658539083 1.238366577111677
4 10000000 10000000 49984105 2.1226456431549936 2.1219468187730945 2.106846621336814 1.378271117899512
5 10000000 10000000 49984105 2.4141574391569733 2.4023740886155296 2.348241050828969 1.3245604080357998
6 10000000 10000000 49984105 2.49594399104265 2.4950599792616686 2.4044585373763403 1.6773894658795807
7 10000000 10000000 49984105 2.637091874813477 2.63742479987206 2.558759353686149 1.573991467267336
8 10000000 10000000 49984105 2.648166156150816 2.629446700219081 2.5613585442729314 1.5926248140990547
9 10000000 10000000 49984105 2.687957825600645 2.6665078092064505 2.6089268266508094 1.5464147783681172
10 10000000 10000000 49984105 2.7047348749221936 2.708224542051089 2.6456267168561456 1.726769936771603
11 10000000 10000000 49984105 2.569940088743104 2.5643724109543107 2.471525392658316 1.7326131563374265
12 10000000 10000000 49984105 2.615361484372528 2.6012234433013135 2.5726805528471917 1.9078662835753548
13 10000000 10000000 49984105 2.698298770383892 2.6399848440436187 2.618108253138876 1.6270695546185805
14 10000000 10000000 49984105 2.6982129273628344 2.687155261948127 2.6189309807092704 1.8948504871526615
15 10000000 10000000 49984105 2.6761369403490862 2.6597341785205453 2.6357878465667963 1.9445414976368167
16 10000000 10000000 49984105 2.644263683992234 2.621973073169489 2.5801064181320896 1.9471292232115653
17 10000000 10000000 49984105 2.650863594766924 2.6517059533785945 2.6161038503610836 1.6211331292549551
18 10000000 10000000 49984105 2.5794500915185337 2.584386794909762 2.5498935463167762 1.6478954868665798
19 10000000 10000000 49984105 2.6922320037923306 2.6815981554537363 2.6477215064649973 1.8672824874091407
20 10000000 10000000 49984105 2.6397022095687936 2.6346506989904177 2.5997506720298302 1.6737158554464224
21 10000000 10000000 49984105 2.6968579862361866 2.6847055693118196 2.6409382072892886 1.6232661775377202
22 10000000 10000000 49984105 2.5993086626721174 2.5968568022092464 2.5646080420478596 1.5662439536398551
23 10000000 10000000 49984105 2.6972015308808923 2.702695174806157 2.6624504233344384 1.7598317589717953
24 10000000 10000000 49984105 2.6801984288280045 2.6825527524780326 2.638371003430273 1.4581303155223335
25 10000000 10000000 49984105 2.7142952423294218 2.7095572977443814 2.6652616463163143 1.6241134158007549
26 10000000 10000000 49984105 2.696658271491491 2.6929936536628465 2.6559566995434443 1.6332649194672757
27 10000000 10000000 49984105 2.697992646185477 2.654705650621465 2.637600318522289 1.5428835690186455
28 10000000 10000000 49984105 2.686832730739013 2.685238526480742 2.644352684564509 1.6239720634404164
29 10000000 10000000 49984105 2.719910283075676 2.680131770035555 2.6615075279278306 1.7864662085300815
30 10000000 10000000 49984105 2.7000759650720747 2.700592459472813 2.641385641594403 1.705322236216122
31 10000000 10000000 49984105 2.6893182894687815 2.684276390744 2.6476502854846773 1.7246958660144067
32 10000000 10000000 49984105 2.698490300030972 2.699286357834191 2.658201175089949 1.5150858743392412
33 10000000 10000000 49984105 2.6848624029906842 2.678185295901044 2.633724973413933 1.915532331741469
34 10000000 10000000 49984105 2.6927537981441048 2.6879532368713592 2.634685326458458 1.7674969087044172
35 10000000 10000000 49984105 2.69068410991292 2.6921432733313932 2.656152404063728 1.7196068331425547
36 10000000 10000000 49984105 2.5872475664672487 2.5882078181799186 2.5265694454336134 1.5739226105467001
37 10000000 10000000 49984105 2.5879588675014875 2.579569103252015 2.5586045368860297 1.6962536262815198
38 10000000 10000000 49984105 2.6885114877868883 2.6667184039989014 2.607773463781306 1.7168063450494306
39 10000000 10000000 49984105 2.697168335512383 2.6932357848214306 2.6489397628706617 1.6235573674795027
40 10000000 10000000 49984105 2.690550105609149 2.634676195554946 2.6176132875707134 1.674474289697562
41 10000000 10000000 49984105 2.6253322383563034 2.6265890084859222 2.5878286379960276 1.6433767332612612
42 10000000 10000000 49984105 2.649429814453919 2.640480055702271 2.609488645626501 1.6915525418999466
43 10000000 10000000 49984105 2.69801149657949 2.682251659172533 2.58067000064439 1.5141868112066739
44 10000000 10000000 49984105 2.7003953133351963 2.7002115370041153 2.6515297693530604 1.5961510029385941
45 10000000 10000000 49984105 2.704395376831771 2.703335390511999 2.6351838478607528 1.9095256533945053
46 10000000 10000000 49984105 2.635314018167896 2.6320646895202007 2.6075267661303148 1.827963361953687
47 10000000 10000000 49984105 2.690577592583278 2.6846888926827193 2.643198830269433 1.6176153651370448
48 10000000 10000000 49984105 2.683325307592333 2.677025779500925 2.642532691958452 2.0035019084892105
49 10000000 10000000 49984105 2.6308369964533886 2.632489444918662 2.6034556233599164 1.8439846291760638
50 10000000 10000000 49984105 2.6771940678967554 2.6794905414840033 2.640260746713072 1.6010349960706516
51 10000000 10000000 49984105 2.6385150534352806 2.639681915871387 2.6028219925609375 1.6109450448022586
52 10000000 10000000 49984105 2.630933418251183 2.6362314721457083 2.5998353733342072 1.7351677080707981
53 10000000 10000000 49984105 2.699499204715248 2.689208471320214 2.6495741983850625 1.8970266924530204
54 10000000 10000000 49984105 2.583924781823335 2.584142870135148 2.5450847884539574 1.932483912468759
55 10000000 10000000 49984105 2.586626571170636 2.589407809304389 2.5580459586276825 1.8837015954508132
56 10000000 10000000 49984105 2.6374193757513726 2.640980006374867 2.616608562111185 1.9741736977458242
57 10000000 10000000 49984105 2.7048143105319413 2.70337594248606 2.6540579029798805 1.6959924344108348
58 10000000 10000000 49984105 2.63181854659488 2.635094593246612 2.5933853013787695 1.8654437414656935
59 10000000 10000000 49984105 2.6913938378754536 2.6821469404475575 2.6149063356913222 1.6077420638428317
60 10000000 10000000 49984105 2.683929905548909 2.6851468903248246 2.629597572426521 1.616112600551129
61 10000000 10000000 49984105 2.6399116240412326 2.6393710268321544 2.539788644449073 1.8750352725409198
62 10000000 10000000 49984105 2.6956850099120584 2.6963317043759933 2.6521390540999805 1.4010701522873599
63 10000000 10000000 49984105 2.687092617398728 2.6874323910456948 2.6289372242631805 1.9491930735306486
64 10000000 10000000 49984105 2.589542159800314 2.5824386414820033 2.5621848004081125 2.000041913258475
65 10000000 10000000 49984105 2.6726919854594025 2.669239012876796 2.6334603597906177 1.9396843759467681
66 10000000 10000000 49984105 2.651196105714953 2.653974843089087 2.607244668147025 1.4072499554115478
67 10000000 10000000 49984105 2.698861128737854 2.6982906364910533 2.6324165959571535 1.7981355102286998
68 10000000 10000000 49984105 2.7033997273209263 2.707506589901799 2.685749920952423 2.0551000452583144
69 10000000 10000000 49984105 2.64646763941826 2.6484421451292 2.621075397913972 1.6324940571071318
70 10000000 10000000 49984105 2.7073668944498555 2.699639165316191 2.6285339650966377 1.4942422462242764
71 10000000 10000000 49984105 2.554951529271684 2.5554287376461464 2.5342719404799032 1.672923285464187
72 10000000 10000000 49984105 2.693634195852591 2.6916036208736913 2.655818457331292 1.7274321480071628
73 10000000 10000000 49984105 2.648495011873195 2.6455665773653294 2.6207658250714396 2.050839358991188
74 10000000 10000000 49984105 2.6879773783082808 2.6897191254332635 2.6501800111548746 2.028993844525219
75 10000000 10000000 49984105 2.645303525051188 2.6442661997790045 2.564539604580763 1.8290524640526018
76 10000000 10000000 49984105 2.6855909228081116 2.6885240680787135 2.6506689269834847 1.6464017610062596
77 10000000 10000000 49984105 2.7102048817088495 2.709107037530763 2.6570427943555033 1.7245941173280057
78 10000000 10000000 49984105 2.694274879743514 2.690229225955596 2.625449899549103 1.6799759360838726
79 10000000 10000000 49984105 2.6803827312080317 2.6758791891441525 2.6205118516476253 1.3977055411194292
80 10000000 10000000 49984105 2.6958079075386054 2.666586572700715 2.627286940377577 1.7938259492997348
81 10000000 10000000 49984105 2.69695603774462 2.69735174232142 2.64258480619708 1.8225995367915824
82 10000000 10000000 49984105 2.695677506924101 2.683808333473236 2.664739539196723 1.691113256177903
83 10000000 10000000 49984105 2.6400340734976333 2.6430468744497193 2.6085186455918024 1.4812835323858873
84 10000000 10000000 49984105 2.7005793675270624 2.6994632618865144 2.634120994239951 1.4144158289587594
85 10000000 10000000 49984105 2.638900428618747 2.6419442827337893 2.6041258092126567 1.8537712861387303
86 10000000 10000000 49984105 2.692831746613878 2.6831226304972864 2.6337460265946597 1.7843141857642337
87 10000000 10000000 49984105 2.68313760303123 2.6875325690181695 2.646752401890173 1.6821863721886492
88 10000000 10000000 49984105 2.5473238798917675 2.5499612781593584 2.517754017021223 1.3995692559853672
