nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 1.3022194122328523 1.3050163650144937 1.3051493383122046 1.2971233612597346
2 10000000 10000000 49984105 2.560106730289538 2.5566279361355564 2.5550572110652916 2.4385685088518794
3 10000000 10000000 49984105 3.801860899516477 3.7785897368740797 3.566841319489504 1.3676231864865698
4 10000000 10000000 49984105 4.9108636482664965 4.889869046973842 4.517189635899998 2.1222439950360825
5 10000000 10000000 49984105 6.03635876859368 4.100140291737681 3.9911538395086636 2.5360447124856407
6 10000000 10000000 49984105 7.178413329553342 5.16515472146543 5.051773725729283 2.877867195555334
7 10000000 10000000 49984105 8.235062144509376 6.031089346982859 6.153574227061141 3.236424170078913
8 10000000 10000000 49984105 9.649992421244681 9.480286075126159 8.298613200934513 3.7577117963401845
9 10000000 10000000 49984105 10.771223401150102 10.567047798313942 9.150743125022256 3.524101753930199
10 10000000 10000000 49984105 9.72635001119988 8.768474487075919 8.241946659214175 4.403464866467288
11 10000000 10000000 49984105 12.536953328775775 9.842505250170392 9.280855785518302 4.95449385228737
12 10000000 10000000 49984105 13.766515302535884 13.32236378713414 10.526803049564132 5.40042609894014
13 10000000 10000000 49984105 14.667931773686771 12.688466615343252 10.261653870464256 4.707515463234448
14 10000000 10000000 49984105 15.681509572002765 12.884627843146319 11.146093518248646 3.8014018922604307
15 10000000 10000000 49984105 15.83149222762807 10.503119242974538 11.406147143104542 6.546795289556156
16 10000000 10000000 49984105 12.73057893050327 11.638921027462379 10.73613460177056 5.467463282969003
17 10000000 10000000 49984105 18.760344983658268 10.577054618111235 11.034036156807339 5.321083562177811
18 10000000 10000000 49984105 19.11886879237611 13.667367219315915 12.145832884379276 5.020856068242127
19 10000000 10000000 49984105 14.751689538676272 12.578051731409055 11.845644005075838 6.863037750926518
20 10000000 10000000 49984105 21.266219276151606 11.27699108026056 9.792325521030882 5.2639923659412275
21 10000000 10000000 49984105 16.728261002404164 11.564327223377239 11.29957253248216 6.818250729926495
22 10000000 10000000 49984105 15.823039730951107 13.467830812085746 12.786932124370086 7.587636422275034
23 10000000 10000000 49984105 15.643905932546666 12.5336929229661 11.730610557129403 7.532480869726903
24 10000000 10000000 49984105 17.3063330290561 15.446992130356335 13.03724229402544 5.954274835790211
25 10000000 10000000 49984105 16.317053724262404 12.964936361565174 11.994435341399182 6.994530930969174
26 10000000 10000000 49984105 17.566355683817306 16.324988725670824 12.7867200262583 4.465049250361409
27 10000000 10000000 49984105 22.98435364732386 22.46172581899218 13.249008925290214 1.261865789462915
28 10000000 10000000 49984105 20.402838777619785 17.11160037161957 13.166184134083137 3.9949083883778647
29 10000000 10000000 49984105 20.890075060864838 18.874739126450258 13.252796158518496 1.4835900605807406
30 10000000 10000000 49984105 18.914728922569026 15.0109657793725 12.635304946163318 4.894043287473548
31 10000000 10000000 49984105 22.800147783585174 19.098409016223496 13.978870128584335 1.86921814665904
32 10000000 10000000 49984105 20.728478310365794 16.133562987973363 12.887629609309203 2.391899121034771
33 10000000 10000000 49984105 17.550204595108024 13.861609288824992 12.90003444187211 4.995150952495879
34 10000000 10000000 49984105 17.20044598134599 12.17744016468749 11.67785409808629 5.857320551943745
35 10000000 10000000 49984105 17.75402909934408 12.075919345960807 12.262340329280462 5.264276111030516
36 10000000 10000000 49984105 18.44137347936314 13.811515341015765 11.70740157844219 4.367370008551656
37 10000000 10000000 49984105 22.703874250508406 20.56022216642568 12.83710663548289 1.5680106575386152
38 10000000 10000000 49984105 17.436242683373543 11.089949926089108 10.833267324622778 1.8551975907438625
39 10000000 10000000 49984105 21.0064618582442 18.605841238142787 12.03137981960508 1.364155076845024
40 10000000 10000000 49984105 26.866831816832125 26.09244719616782 9.830767764787648 1.1271205552826826
41 10000000 10000000 49984105 23.98012122866505 18.58364095620073 13.52702958468963 2.0372536941217936
42 10000000 10000000 49984105 23.88502206576104 22.67998236170706 11.96133408456582 0.7489219332358307
43 10000000 10000000 49984105 23.771457160195034 10.967486442966472 9.306668651159148 2.185021167589991
44 10000000 10000000 49984105 23.44933158646149 21.766194752707364 11.485215428846447 0.7996186730573233
45 10000000 10000000 49984105 22.02933204880821 19.27761539588687 11.499220959045328 1.001458489209079
46 10000000 10000000 49984105 24.93342544233289 23.241708729950634 9.049148184193223 0.4873815541467608
47 10000000 10000000 49984105 26.884441979931015 25.927312012979566 11.684235255560601 0.5471024044790634
48 10000000 10000000 49984105 22.4253505838174 17.5065166052346 10.547364527758123 0.8959971741446001
49 10000000 10000000 49984105 26.845583115827257 26.211777746307206 12.456280319824685 0.8079386213695542
50 10000000 10000000 49984105 24.591452831828384 13.76218571330464 10.547386634260246 1.7437298199406435
51 10000000 10000000 49984105 18.735004621038993 14.24832574971882 6.911621839503685 1.7229956413106668
52 10000000 10000000 49984105 31.283138972172186 18.731926519776792 9.291089801325683 1.3194091587945471
53 10000000 10000000 49984105 20.665288408906658 7.330018182399049 7.185976479205816 0.7885537611368689
54 10000000 10000000 49984105 28.75322562325736 25.715537395512037 9.326668413184386 0.5013649034648522
55 10000000 10000000 49984105 27.130735393357867 26.738432377362976 10.789410601233728 0.4662390611667066
56 10000000 10000000 49984105 22.85951751863174 15.76285892142789 8.8156842704933 0.734952838532024
57 10000000 10000000 49984105 23.804072425640165 19.748937345485654 8.204648059748235 0.4255351614235058
58 10000000 10000000 49984105 22.665968296255393 16.495225093127026 9.161596368968098 2.33784105711204
59 10000000 10000000 49984105 16.47692622736273 13.301820921872892 6.248861602971587 1.0179187583251568
60 10000000 10000000 49984105 23.151868219615615 15.588603620094675 5.648149142087499 0.7740712881666584
61 10000000 10000000 49984105 26.15152855502065 18.18353208080807 13.317131950980427 1.5388438999278289
62 10000000 10000000 49984105 27.209859344080332 20.308380246211257 12.328290448354064 0.7809445373522685
63 10000000 10000000 49984105 25.716160686276137 25.320580802130152 11.813058441385964 0.48443198174159546
64 10000000 10000000 49984105 27.309338049290194 22.71514935971612 6.180865113767759 0.44560552538693193
65 10000000 10000000 49984105 27.079719633348994 21.91650503984949 5.243913337826486 0.463822965241916
66 10000000 10000000 49984105 28.721950101903804 20.512802549971493 13.088331078333155 0.6812567592471435
67 10000000 10000000 49984105 21.968986916900867 20.2637132277899 11.56697996498915 0.4216284169588076
68 10000000 10000000 49984105 22.666976489653567 20.45259630832928 13.386771983686382 0.689630288008196
69 10000000 10000000 49984105 26.374179028568484 23.77860018696964 12.39836351580268 0.4788353186253881
70 10000000 10000000 49984105 21.25842310490072 9.6355189033577 5.0388320687011925 0.39528957988411617
71 10000000 10000000 49984105 29.51860106528233 27.267058208478616 15.68123414649995 0.42500079566407056
72 10000000 10000000 49984105 31.007943214511307 21.881920556713016 12.73207495828423 0.5536600314329518
73 10000000 10000000 49984105 31.08955866801748 22.398157165366065 13.218473664759308 0.6308171708716545
