nthreads nrows ncols nnz min med mean max
1 10000000 10000000 49984105 1.2521563175507955 1.2490843523575084 1.2496224620329053 1.238991449647847
2 10000000 10000000 49984105 2.4544223806297265 2.4504411244779276 2.449974622711641 2.3085953699300843
3 10000000 10000000 49984105 3.6195954886282182 3.5903280156472577 3.532918984986147 1.8866907018349262
4 10000000 10000000 49984105 4.744903948214518 3.0548422035524103 3.2404905701639817 2.295284864563442
5 10000000 10000000 49984105 5.854647537607721 3.718724569848983 3.9280468790822636 2.928422168465651
6 10000000 10000000 49984105 6.110468933666898 4.3175996955061295 4.476078158558657 3.1118919873146837
7 10000000 10000000 49984105 8.154145350401816 7.4861632628742045 7.116322510136539 3.475607625861403
8 10000000 10000000 49984105 6.0460694071688845 5.1658042798979835 5.179936814475506 3.947499847693841
9 10000000 10000000 49984105 9.68679224415665 6.445060447756332 6.138416724187132 4.625541121420675
10 10000000 10000000 49984105 11.129551014905218 7.9118053559063695 8.546338674845915 4.072871340235908
11 10000000 10000000 49984105 10.015580047207159 9.33353202963874 8.766927042253483 4.59263876720276
12 10000000 10000000 49984105 11.609157472166004 7.4215846237378 7.498702964363746 5.125416179120456
13 10000000 10000000 49984105 13.49540932373995 10.45297629976227 10.570169825643088 5.358456945914264
14 10000000 10000000 49984105 12.018870715916114 5.9856947375338185 6.751921454222739 5.452544914157034
15 10000000 10000000 49984105 10.245826703544266 6.839928566122551 6.780683977211221 5.749523962945301
16 10000000 10000000 49984105 16.134670668941933 6.299648242009879 7.0691638068191684 4.486409678736961
17 10000000 10000000 49984105 14.93253019934415 12.182309167164368 11.203141390177622 6.528275047974083
18 10000000 10000000 49984105 18.803374335682555 6.524784031233433 7.991064242657927 5.3640450710165295
19 10000000 10000000 49984105 13.860309703076803 11.39365574697836 11.058695625867108 7.533939637703186
20 10000000 10000000 49984105 20.35880492729686 6.45048010567043 6.993580616931223 5.116444170724803
21 10000000 10000000 49984105 11.067106074904917 6.327113191664827 6.879971373195669 5.387320748766627
22 10000000 10000000 49984105 19.182444033073363 15.028108821479918 12.361939630562548 6.06975500057854
23 10000000 10000000 49984105 17.61796160140134 10.42333572450758 10.958703059839024 6.204199315886893
24 10000000 10000000 49984105 23.178435904362775 11.352040471208007 11.502975222848365 6.850817785401607
25 10000000 10000000 49984105 21.916219838143814 15.494244511373957 12.547602439449424 6.236449507049938
26 10000000 10000000 49984105 21.460256295497665 6.849623161638247 7.896612316277867 4.793918219590368
27 10000000 10000000 49984105 26.151551794079317 18.987898746776427 14.345221732553759 4.427751719235708
28 10000000 10000000 49984105 23.115543612089127 17.4769099404698 14.04867915128628 6.338154406037183
29 10000000 10000000 49984105 21.912458419503693 5.496643246704007 6.669908221820125 2.6881830149041064
30 10000000 10000000 49984105 18.514855544942385 13.084786942879893 7.838919300949967 2.3280332608175356
31 10000000 10000000 49984105 25.358101664508546 8.732780534474381 5.831092538804278 1.430146034350576
32 10000000 10000000 49984105 18.448960276386153 11.479667730977008 10.205176089949937 3.0269967677388796
33 10000000 10000000 49984105 23.175734414535594 20.6167894143274 11.944472887240629 1.953488200082811
34 10000000 10000000 49984105 26.139757473180445 19.69157902959303 14.16419268193561 3.2360354714509922
35 10000000 10000000 49984105 24.801627244086824 20.222837532193704 11.423561056813071 1.0684815881823837
36 10000000 10000000 49984105 21.352681434819583 15.712186949400909 11.973842620389995 3.504368926507961
37 10000000 10000000 49984105 25.55812797721144 22.498942646332633 12.391038514010782 2.7659125700658587
38 10000000 10000000 49984105 30.357550282954442 22.41753806931931 12.70181858299603 1.6693551391170824
39 10000000 10000000 49984105 26.240551408491992 20.17150773431442 11.614415994890528 2.6543696894286284
40 10000000 10000000 49984105 23.39471773183829 19.108072207353054 12.623786082227037 3.128922197712765
41 10000000 10000000 49984105 21.490929588058744 16.74465256478889 13.16421659086829 3.4267986364957945
42 10000000 10000000 49984105 18.837981798955074 8.609198105101685 6.374233563810146 2.032252239560431
43 10000000 10000000 49984105 20.437084803837823 15.6516170857649 8.669702656941897 0.5936249703044624
44 10000000 10000000 49984105 27.437868157789236 16.950825878799158 10.481244093833183 1.200351447938395
45 10000000 10000000 49984105 29.88197779898253 19.816079889669464 13.032681964574522 1.459820610958984
46 10000000 10000000 49984105 24.05507612071173 19.84699075124595 11.744625591390026 3.0348872042214605
47 10000000 10000000 49984105 19.593561243289876 9.571036178880794 4.936601063054951 0.6941963212818298
48 10000000 10000000 49984105 26.341848617567003 20.57986497125023 11.563043162478511 1.9567836289230636
49 10000000 10000000 49984105 26.014466436214953 23.973699736385573 14.122809501672823 1.0542649693891655
50 10000000 10000000 49984105 17.69810051894783 9.037446019312481 4.851764292304323 0.9166661818936878
51 10000000 10000000 49984105 22.333485048671594 18.053251000605833 8.756075195022216 1.0705685244681036
52 10000000 10000000 49984105 29.0739468684094 20.127750609951715 10.42402766654309 0.9839884977233896
53 10000000 10000000 49984105 20.77615517325062 13.131641620890605 7.472160808336627 1.2885975670044896
54 10000000 10000000 49984105 28.365436742542443 22.443698070209795 10.473710442515433 1.4244264248882292
55 10000000 10000000 49984105 20.502729955276386 15.999307795007068 10.664392225330788 1.9370848598907489
56 10000000 10000000 49984105 27.692089475766746 27.290848814276604 12.06597496841679 0.6389166598940275
57 10000000 10000000 49984105 19.45949318688752 13.585286379485018 11.87373959912504 5.357761493454893
58 10000000 10000000 49984105 23.838273713755147 10.746615464660872 4.677259551307606 0.6472045188025302
59 10000000 10000000 49984105 21.835312895907876 16.38736433603534 6.42453927472933 0.7134092744306341
60 10000000 10000000 49984105 18.58305653321167 9.546465088269276 4.549797261492062 0.7973440693926556
61 10000000 10000000 49984105 18.72585213217971 4.790079456675268 3.6565875537762786 0.4703591239941543
62 10000000 10000000 49984105 22.763007120537868 18.5098383678066 10.400467776299646 2.404391822604679
63 10000000 10000000 49984105 26.567076056505865 19.975559290989793 15.93597302434507 4.525296966822339
