nthreads nrows ncols nnz min med mean max
16 10 10 37 2.909e-6 3.997e-6 4.4827049e-6 0.000237354
16 14 14 53 4.128e-6 5.609e-6 6.0762019e-6 0.00021828
16 18 18 76 4.687e-6 6.3255e-6 6.5145575e-6 0.001161844
16 24 24 99 5.28e-6 7.079e-6 7.2729437e-6 0.000254648
16 32 32 133 5.588e-6 7.736e-6 7.9857839e-6 0.000249264
16 43 43 187 5.361e-6 7.16e-6 7.334306400000001e-6 0.000244547
16 57 57 256 6.744e-6 8.9515e-6 9.087586499999999e-6 0.000227982
16 75 75 336 6.403e-6 8.662e-6 8.8016266e-6 0.000211903
16 100 100 454 6.242e-6 9.197e-6 9.3640634e-6 0.000211314
16 134 134 621 5.831e-6 9.013e-6 9.1595871e-6 0.000255631
16 178 178 835 5.841e-6 8.543e-6 8.747395e-6 0.000220436
16 238 238 1120 5.392e-6 7.866e-6 7.9898817e-6 0.000234929
16 317 317 1499 5.33e-6 8.694e-6 8.8405471e-6 0.001294058
16 422 422 2021 5.214e-6 7.797e-6 7.8796475e-6 0.000230581
16 563 563 2713 5.527e-6 7.933e-6 8.0083436e-6 0.000233093
16 750 750 3603 5.454e-6 8.0815e-6 8.1592738e-6 0.000226425
16 1000 1000 4853 5.783e-6 8.412e-6 8.5686105e-6 0.000237497
16 1334 1334 6506 5.326e-6 8.081e-6 8.334199500000001e-6 0.000249807
16 1779 1779 8699 5.85e-6 8.605e-6 8.6875935e-6 0.000267856
16 2372 2372 11631 5.826e-6 8.428e-6 8.632359700000001e-6 0.000223817
16 3163 3163 15546 5.997e-6 8.305e-6 8.510384e-6 0.000232536
16 4217 4217 20775 6.593e-6 9.041e-6 9.4683351e-6 0.000269175
16 5624 5624 27767 7.135e-6 9.506e-6 9.8465187e-6 0.000256552
16 7499 7499 37040 7.394e-6 1.0025e-5 1.04386233e-5 0.000239129
16 10000 10000 49512 8.754e-6 1.1033e-5 1.14934636e-5 0.000253945
16 13336 13336 66137 9.686e-6 1.19445e-5 1.24283758e-5 0.000242768
16 17783 17783 88263 1.0796e-5 1.3184e-5 1.3729852e-5 0.000285819
16 23714 23714 117795 1.2589e-5 1.4877e-5 1.5642369e-5 0.000276384
16 31623 31623 157219 1.4821e-5 1.7366e-5 1.81950659e-5 0.002109545
16 42170 42170 209823 1.7823e-5 2.0506e-5 2.1300809600000002e-5 0.000300554
16 56235 56235 279974 2.2017e-5 2.4566e-5 2.5482523399999998e-5 0.000299201
16 74990 74990 373539 2.7565e-5 3.0429e-5 3.15351754e-5 0.00302729
16 100000 100000 498374 3.5026e-5 3.7279e-5 4.37329929e-5 0.000384111
16 133353 133353 664974 4.6215e-5 4.8004e-5 4.89874444e-5 0.000345494
16 177828 177828 887077 6.4271e-5 6.6284e-5 6.731065399999999e-5 0.000429575
16 237138 237138 1183227 9.724e-5 9.94065e-5 0.00010041229790000001 0.000522918
16 316228 316228 1578347 0.000124924 0.00012904 0.0001299333991 0.000584728
16 421697 421697 2105214 0.000179848 0.000186001 0.00018748774429999999 0.002283765
16 562342 562342 2807912 0.000275703 0.0002849495 0.00028628865379999997 0.000991803
16 749895 749895 3745073 0.00042964 0.0004480135 0.0004504670645 0.004777866
16 1000000 1000000 4994964 0.000615601 0.000645228 0.0007318141124 0.003264541
16 1333522 1333522 6661810 0.000873231 0.001611316 0.0013257110078 0.003188544
16 1778280 1778280 8884744 0.001155235 0.002193029 0.0020812090434000003 0.00833787
16 2371374 2371374 11849210 0.001536634 0.001621881 0.0024428189914 0.007200963
16 3162278 3162278 15802570 0.002053732 0.002115976 0.0025518681689 0.009839341
16 4216966 4216966 21074714 0.002724936 0.002884259 0.003424664325 0.010962005
16 5623414 5623414 28105160 0.003637501 0.003854858 0.0047952884183999995 0.01186455
16 7498943 7498943 37480834 0.0049277 0.005403606 0.0068892343203 0.013265731
16 10000000 10000000 49984105 0.006621045 0.006793621 0.0074278000971 0.016724768
16 13335215 13335215 66657704 0.009042323 0.009279967 0.0099095971795 0.023797048
16 17782795 17782795 88892878 0.012290716 0.0126628815 0.013773970185699999 0.031072388
16 23713738 23713738 118544520 0.016553878 0.016987993 0.0171067939 0.038841314
16 31622777 31622777 158085812 0.022628166 0.02320949 0.0242467786543 0.055324088
16 42169651 42169651 210815793 0.030485046 0.0312791 0.031758397553 0.073223716
16 56234133 56234133 281133039 0.041340744 0.0422823525 0.0434493641609 0.099908353
16 74989421 74989421 374903757 0.055639475 0.056870663 0.0580854628694 0.146746217
16 100000000 100000000 499950126 0.075489721 0.076698466 0.0773741128417 0.17139922
16 133352144 133352144 666703035 0.100954182 0.1024606075 0.10289407187340001 0.222673
16 177827942 177827942 889073405 0.134662656 0.136794352 0.1375877428376 0.251812098
16 237137371 237137371 1185609503 0.181864702 0.183939391 0.18546521654530002 0.475616231
16 316227767 316227767 1581050684 0.245652382 0.2477908505 0.25091771238730004 0.612746315
16 421696504 421696504 2108379980 0.334438396 0.3374528025 0.3400387694882 0.847779781
16 562341326 562341326 2811588432 0.460959935 0.465350143 0.47051540177679996 1.186041642
16 749894210 749894210 3749332867 0.627127712 0.63091057 0.6326306883221 1.180439787
16 1000000000 1000000000 4999840847 0.992643544 1.112311586 1.2586214987279 5.26721847
