nthreads nrows ncols nnz min med mean max
1 10 10 37 1.2982456140350878 1.2542372881355932 1.2452713345269988 0.09635416666666667
1 14 14 53 1.536231884057971 1.4722222222222223 1.4537036529104246 0.033682872577057515
1 18 18 76 1.7674418604651163 1.707865168539326 1.7025204022428468 0.1468599033816425
1 24 24 99 1.6923076923076923 1.6638655462184875 1.654980110983969 0.13664596273291926
1 32 32 133 1.437837837837838 1.4000000000000001 1.38599849728584 0.026798307475317352
1 43 43 187 1.3262411347517729 1.2764505119453924 1.2663877001925317 0.0382530428556817
1 57 57 256 1.2427184466019419 1.1906976744186046 1.187756457961773 0.050864295648718465
1 75 75 336 1.1526586620926245 1.1448040885860307 1.135645792077451 0.06340220775544862
1 100 100 454 1.1407035175879399 1.1196054254007397 1.1070534054511163 0.08690658499234304
1 134 134 621 1.1575023299161231 1.1129032258064515 1.094863196314701 0.07212543554006967
1 178 178 835 1.1230665770006727 1.0767246937459705 1.0697258862646941 0.14356946354883082
1 238 238 1120 1.110560237977194 1.05810108644308 1.0521949279413227 0.19424210891432536
1 317 317 1499 1.0933625091174324 1.061614730878187 1.0601742978882551 0.2302434528838031
1 422 422 2021 1.1037684325505188 1.067053854276663 1.0591469365393322 0.2024948649867241
1 563 563 2713 1.112797374897457 1.068320535538492 1.0164795958300283 0.0029566259808195294
1 750 750 3603 1.067239336492891 1.0620486366985997 1.0498326539651486 0.4216254168860804
1 1000 1000 4853 1.0747425534270845 1.0720715745291876 1.0690930047799558 0.48702895278237746
1 1334 1334 6506 1.0776875931754182 1.075283034459962 1.0569143074884564 0.38209901920479233
1 1779 1779 8699 1.0788788292198932 1.0235923986585866 1.0428509980631908 0.4493981505398563
1 2372 2372 11631 1.0810484245747745 1.0257066008201419 1.0495008901853737 0.46688342967244695
1 3163 3163 15546 1.0821760467787407 1.080183435241801 1.0736305514619142 0.5489600621490872
1 4217 4217 20775 1.0840355866315323 1.0823131023704091 1.0696841009170617 0.558490261704101
1 5624 5624 27767 1.0846908082346967 1.0835056776056502 1.065120001081116 0.028861725238288276
1 7499 7499 37040 1.0826452320058457 1.0259677307665673 1.03156525916466 0.6360873074479229
1 10000 10000 49512 1.0831173092698934 1.0812132858733867 1.0698404355851272 0.6581460730165694
1 13336 13336 66137 1.0779574273885972 1.0749439261450444 1.0518881579713253 0.6772584840354722
1 17783 17783 88263 1.0725977955741353 1.0701918180274996 1.0586979130586966 0.6834596160026019
1 23714 23714 117795 1.0664958510826117 1.0643228884310962 1.0544426311204997 0.3500594353640416
1 31623 31623 157219 1.0643545253295241 1.0495347925132887 1.034214222513146 0.25272344112432266
1 42170 42170 209823 1.0613174979324786 1.059302845112873 1.0528746738486698 0.19983856566305938
1 56235 56235 279974 1.0606502010687042 1.0058614836038333 1.0098274398579319 0.33829791347469057
1 74990 74990 373539 1.0443706331831943 1.029291089501776 1.0212675040535084 0.3093030891060086
1 100000 100000 498374 1.0500893907836364 1.0354177465815824 1.0336853504186176 0.44426160386449315
1 133353 133353 664974 1.0613254637894314 1.0332176938844717 1.0252186504301986 0.40268080848145554
