nthreads nrows ncols nnz min med mean max
1 10 10 37 5.7e-8 5.9e-8 5.94248e-8 7.68e-7
1 14 14 53 6.9e-8 7.2e-8 7.291719999999999e-8 3.147e-6
1 18 18 76 8.6e-8 8.9e-8 8.92794e-8 1.035e-6
1 24 24 99 1.17e-7 1.19e-7 1.196389e-7 1.449e-6
1 32 32 133 1.85e-7 1.9e-7 1.919194e-7 9.926e-6
1 43 43 187 2.82e-7 2.93e-7 2.9532819999999997e-7 9.777e-6
1 57 57 256 4.12e-7 4.3e-7 4.310648e-7 1.0066e-5
1 75 75 336 5.83e-7 5.87e-7 5.917338e-7 1.0599e-5
1 100 100 454 7.96e-7 8.11e-7 8.201953e-7 1.0448e-5
1 134 134 621 1.073e-6 1.116e-6 1.1343883e-6 1.722e-5
1 178 178 835 1.487e-6 1.551e-6 1.5611476e-6 1.1632e-5
1 238 238 1120 2.017e-6 2.117e-6 2.1288831e-6 1.1532e-5
1 317 317 1499 2.742e-6 2.824e-6 2.8278369e-6 1.3021e-5
1 422 422 2021 3.662e-6 3.788e-6 3.8162788e-6 1.9961e-5
1 563 563 2713 4.876e-6 5.079e-6 5.3380314e-6 0.0018352
1 750 750 3603 6.752e-6 6.785e-6 6.8639511e-6 1.7091e-5
1 1000 1000 4853 9.031e-6 9.0535e-6 9.0787237e-6 1.9929e-5
1 1334 1334 6506 1.2074e-5 1.2101e-5 1.2311310299999999e-5 3.4054e-5
1 1779 1779 8699 1.6126e-5 1.6997e-5 1.6683112000000002e-5 3.8714e-5
1 2372 2372 11631 2.1518e-5 2.2679e-5 2.21648216e-5 4.9824e-5
1 3163 3163 15546 2.8731e-5 2.8784e-5 2.89596826e-5 5.6638e-5
1 4217 4217 20775 3.8329e-5 3.839e-5 3.88432435e-5 7.4397e-5
1 5624 5624 27767 5.1198e-5 5.1254e-5 5.21387261e-5 0.00192414
1 7499 7499 37040 6.8425e-5 7.2205e-5 7.18131978e-5 0.000116462
1 10000 10000 49512 9.1425e-5 9.1586e-5 9.25595974e-5 0.000150459
1 13336 13336 66137 0.000122708 0.000123052 0.0001257491103 0.000195308
1 17783 17783 88263 0.000164578 0.000164948 0.0001667387815 0.000258283
1 23714 23714 117795 0.000220901 0.000221352 0.00022342609549999998 0.000673
1 31623 31623 157219 0.000295426 0.0002995975 0.00030403565639999997 0.001244198
1 42170 42170 209823 0.000395401 0.000396153 0.0003985716538 0.002099925
1 56235 56235 279974 0.000527929 0.000556685 0.0005544986973999999 0.001655192
1 74990 74990 373539 0.000715338 0.000725818 0.0007315203872 0.002415359
1 100000 100000 498374 0.000949203 0.000962653 0.0009642663501000001 0.002243606
1 133353 133353 664974 0.001253101 0.0012871905 0.0012972335213 0.003302735
1 177828 177828 887077 0.001708048 0.001764718 0.0017601231297 0.002783707
1 237138 237138 1183227 0.002282687 0.0023630715 0.0023531671911999996 0.003661191
1 316228 316228 1578347 0.003233951 0.003352633 0.0033388101052 0.005303151
1 421697 421697 2105214 0.004563574 0.0047194155 0.0047004932906 0.006267003
1 562342 562342 2807912 0.006299522 0.0064943615 0.0064673302555 0.008450434
1 749895 749895 3745073 0.008560941 0.008710143 0.008728426845599999 0.010061587
1 1000000 1000000 4994964 0.011732204 0.0119549065 0.0119721535719 0.013880459
1 1333522 1333522 6661810 0.016059077 0.016371113 0.0163880953438 0.018018053
1 1778280 1778280 8884744 0.021779396 0.022091177 0.0221103560385 0.023819355
1 2371374 2371374 11849210 0.029354174 0.0297458305 0.0297813770377 0.031872208
1 3162278 3162278 15802570 0.039087584 0.039634304 0.0396668708961 0.041206652
1 4216966 4216966 21074714 0.053420041 0.054194692 0.0542451215122 0.056303233
1 5623414 5623414 28105160 0.071735316 0.0727814555 0.07283568486679999 0.075184131
1 7498943 7498943 37480834 0.096811072 0.0980435815 0.0980972954031 0.100992258
1 10000000 10000000 49984105 0.129965699 0.1315541565 0.1316197191954 0.136396807
1 13335215 13335215 66657704 0.172188376 0.174073404 0.17416679564930002 0.17915645
1 17782795 17782795 88892878 0.235588085 0.237626295 0.2377352957482 0.244371858
1 23713738 23713738 118544520 0.31820627 0.3207180675 0.32081719923720003 0.328647681
1 31622777 31622777 158085812 0.4291225 0.4329511085 0.4330322773053 0.442430286
1 42169651 42169651 210815793 0.570948285 0.5751476715 0.5752951276849001 0.586830482
1 56234133 56234133 281133039 0.758007768 0.764203709 0.7644534119669 0.776850194
1 74989421 74989421 374903757 1.03138449 1.0376289895 1.037929517334 1.054824286
1 100000000 100000000 499950126 1.389355716 1.399517226 1.3998339815967 1.416609178
1 133352144 133352144 666703035 1.839022123 1.8508303935 1.8509028082468 1.869909353
1 177827942 177827942 889073405 2.490166768 2.5070817605 2.5066562465582 2.528472927
1 237137371 237137371 1185609503 3.330005627 3.353180268 3.3534027907001 3.391191587
1 316227767 316227767 1581050684 4.484973708 4.522884986 4.5195802521288995 4.548036856
1 421696504 421696504 2108379980 6.128918839 6.163769624 6.1670897470022 6.223781256
1 562341326 562341326 2811588432 8.335132228 8.3899966335 8.387620066192799 8.431713807
1 749894210 749894210 3749332867 11.679265746 16.166166866 16.748405475686763 30.256310982
1 1000000000 1000000000 4999840847 16.690369767 16.777150358 16.76681058361913 16.862337231
