nthreads nrows ncols nnz min med mean max
16 10 10 37 1.0404e-5 1.6062e-5 1.77806222e-5 0.003967365
16 14 14 53 1.0102e-5 1.615e-5 1.7880216499999997e-5 0.0036404
16 18 18 76 9.78e-6 1.62105e-5 1.82224489e-5 0.004677367
16 24 24 99 1.0493e-5 1.6243e-5 1.8045445199999998e-5 0.003645932
16 32 32 133 1.0093e-5 1.62245e-5 1.80535395e-5 0.003682321
16 43 43 187 9.861e-6 1.69475e-5 1.86377535e-5 0.003749682
16 57 57 256 1.0938e-5 1.7541e-5 1.92324181e-5 0.003866994
16 75 75 336 1.1049e-5 1.8168e-5 1.99294587e-5 0.004058981
16 100 100 454 1.228e-5 1.87985e-5 2.05986227e-5 0.004194921
16 134 134 621 1.1636e-5 1.9558e-5 2.13502706e-5 0.004354551
16 178 178 835 1.3359e-5 2.0131e-5 2.18584165e-5 0.004391909
16 238 238 1120 1.2341e-5 2.00405e-5 2.18211439e-5 0.00453567
16 317 317 1499 1.3215e-5 2.0124e-5 2.1937611e-5 0.00451328
16 422 422 2021 1.3499e-5 2.00315e-5 2.18303858e-5 0.004505854
16 563 563 2713 1.2967e-5 2.01185e-5 2.19139052e-5 0.004480929
16 750 750 3603 1.2474e-5 2.00995e-5 2.19984918e-5 0.004917408
16 1000 1000 4853 1.2952e-5 2.0306e-5 2.21011294e-5 0.004451222
16 1334 1334 6506 1.3235e-5 2.04225e-5 2.22207687e-5 0.004494291
16 1779 1779 8699 1.3307e-5 2.05905e-5 2.2421160400000002e-5 0.004469239
16 2372 2372 11631 1.3364e-5 2.0663e-5 2.25291246e-5 0.0045184
16 3163 3163 15546 1.4383e-5 2.09855e-5 2.28875787e-5 0.004511104
16 4217 4217 20775 1.4133e-5 2.1444e-5 2.3367630000000002e-5 0.004483137
16 5624 5624 27767 1.4848e-5 2.15285e-5 2.3464953e-5 0.004501733
16 7499 7499 37040 1.5012e-5 2.2094e-5 2.39681705e-5 0.004526837
16 10000 10000 49512 1.6107e-5 2.25375e-5 2.4628381700000002e-5 0.004522086
16 13336 13336 66137 1.6564e-5 2.33915e-5 2.55794891e-5 0.004553062
16 17783 17783 88263 1.8373e-5 2.47305e-5 2.70222234e-5 0.004594734
16 23714 23714 117795 1.9511e-5 2.65485e-5 2.87704606e-5 0.004606087
16 31623 31623 157219 2.3084e-5 2.96275e-5 3.17752219e-5 0.004570202
16 42170 42170 209823 2.6098e-5 3.3075e-5 3.5242297899999996e-5 0.004544844
16 56235 56235 279974 3.0831e-5 3.7705e-5 3.99219743e-5 0.00457047
16 74990 74990 373539 3.6405e-5 4.34615e-5 4.58055464e-5 0.004608052
16 100000 100000 498374 4.5045e-5 5.1441e-5 5.42709986e-5 0.00588785
16 133353 133353 664974 5.5255e-5 6.25435e-5 6.629513099999999e-5 0.015336331
16 177828 177828 887077 7.3029e-5 8.205e-5 8.46248638e-5 0.010881819
16 237138 237138 1183227 0.000102975 0.000113337 0.0001157215974 0.014914534
16 316228 316228 1578347 0.000131095 0.000142598 0.0001456827755 0.022026207
16 421697 421697 2105214 0.000182639 0.000195166 0.0001964479187 0.002110695
16 562342 562342 2807912 0.000301156 0.0003207615 0.0003232316757 0.002975575
16 749895 749895 3745073 0.000538165 0.0005597185 0.0005609171495 0.001192645
16 1000000 1000000 4994964 0.000980371 0.0010046125 0.0010054739534 0.00164499
16 1333522 1333522 6661810 0.000882293 0.0015356275 0.0013430714682 0.006564013
16 1778280 1778280 8884744 0.002378623 0.00240972 0.0024109256706 0.003746571
16 2371374 2371374 11849210 0.001651379 0.0016998375 0.0018219768266 0.006125349
16 3162278 3162278 15802570 0.002322743 0.0023870935 0.0027837920132 0.011588714
16 4216966 4216966 21074714 0.0028665 0.002925293 0.003288742193 0.010593408
16 5623414 5623414 28105160 0.00396041 0.0085109105 0.0065088641736 0.011486143
16 7498943 7498943 37480834 0.005340965 0.0055276265 0.0067208923767 0.01697458
16 10000000 10000000 49984105 0.007120653 0.0074120635 0.0107778297249 0.018406475
16 13335215 13335215 66657704 0.009631588 0.009900348 0.013106688683700001 0.022097448
16 17782795 17782795 88892878 0.012975352 0.013308574 0.013938533567700001 0.028894218
16 23713738 23713738 118544520 0.0177177 0.0180977515 0.0188531689301 0.050290245
16 31622777 31622777 158085812 0.024090821 0.024557233 0.0260628573681 0.06227267
16 42169651 42169651 210815793 0.032424344 0.0329148715 0.0345729848874 0.079985966
16 56234133 56234133 281133039 0.043723892 0.0442536205 0.0453192666974 0.101730205
16 74989421 74989421 374903757 0.059325806 0.0599478485 0.061538892221199994 0.131580949
16 100000000 100000000 499950126 0.079760161 0.0803863765 0.0816576187738 0.18834317
16 133352144 133352144 666703035 0.106082571 0.106991586 0.1086313191418 0.248001215
16 177827942 177827942 889073405 0.143764909 0.1446733515 0.14583092307019999 0.335146475
16 237137371 237137371 1185609503 0.193298958 0.194733412 0.1960599628503 0.437753512
16 316227767 316227767 1581050684 0.261280854 0.2637497605 0.2642622348186 0.588958896
16 421696504 421696504 2108379980 0.355624346 0.359555488 0.3618377044925 0.856901368
16 562341326 562341326 2811588432 0.49213724 0.4950844735 0.4995746441397 1.246519289
16 749894210 749894210 3749332867 0.683544472 0.687868514 0.6942658897343 1.722209947
16 1000000000 1000000000 4999840847 1.097271067 1.44858199 1.4315334055337998 5.572933029
