nthreads nrows ncols nnz min med mean max
32 10 10 37 0.015608521408985446 0.01099554234769688 0.01049666249395963 0.0002762039131376018
32 14 14 53 0.022529224229543038 0.013343403826787512 0.012783399679780663 0.0004276763055222694
32 18 18 76 0.02413847864062252 0.017186793306196293 0.016685001324317095 0.00044102840861282066
32 24 24 99 0.02874981849862059 0.018494302260414718 0.017850602626878452 0.0006030297677421712
32 32 32 133 0.03261802575107296 0.02379248658318426 0.023608610141772547 0.0008110819406202644
32 43 43 187 0.0397407289342259 0.025532495903877662 0.024814487324033352 0.0001367666391792539
32 57 57 256 0.05530352127889393 0.0395092213905394 0.03890526008386728 0.001372499611303821
32 75 75 336 0.06920700308959835 0.045258620689655166 0.04458897583488511 0.0023275226084878376
32 100 100 454 0.08743379874819451 0.05782334585747947 0.05682406519687843 0.002703539612214759
32 134 134 621 0.12200392927308447 0.07760802324491517 0.07682888896871451 0.004371746269759977
32 178 178 835 0.15965583173996178 0.10015593139018833 0.09869999576003731 0.005394457598594211
32 238 238 1120 0.20872158032053673 0.12494422132976352 0.12350741155295165 0.006658521867596482
32 317 317 1499 0.28376715570279226 0.17177562596688248 0.17017154585989205 0.008213811148097919
32 422 422 2021 0.40186915887850466 0.22780173021106317 0.22487791805108176 0.011565655554061284
32 563 563 2713 0.640462700661001 0.29808273361533816 0.29928073947030825 0.01524975478416791
32 750 750 3603 0.7256066861343269 0.3799230241999262 0.3713761143499524 0.004046096073164377
32 1000 1000 4853 0.7096066676414681 0.5066158624109404 0.49756377529841517 0.03615301523447685
32 1334 1334 6506 0.9034856269962505 0.6589188504874035 0.6498514815679856 0.04174660720587764
32 1779 1779 8699 1.6791815461828008 0.9483783047151811 0.9385393832768054 0.058997670341445874
32 2372 2372 11631 1.7336413772544343 1.1805724725943971 1.1710712065009183 0.08522596127424938
32 3163 3163 15546 3.3274828767123283 1.601772191025707 1.5907249581650642 0.014752828906662213
32 4217 4217 20775 3.8157773900266325 2.2607938623935575 2.256644085652216 0.13367263555466904
