nthreads nrows ncols nnz min med mean max
16 10 10 37 0.0083890715338397 0.004425969676126678 0.004008205077451196 1.980949158404458e-5
16 14 14 53 0.0112610219908637 0.006296593305414476 0.0057329034340821705 3.216267273024074e-5
16 18 18 76 0.018015882422662083 0.009050312593033641 0.008246094133081423 4.585653060350212e-5
16 24 24 99 0.018719863855535594 0.007366619540144356 0.0067817346417455 3.327995654108301e-5
16 32 32 133 0.023892930926075633 0.01351042486730833 0.01252115805046398 7.365948052897477e-5
16 43 43 187 0.03517020876434079 0.015493920500445346 0.01090836963093328 5.2443493818089955e-6
16 57 57 256 0.03634298693923907 0.019066770938070236 0.01712226488664805 5.223631627865218e-5
16 75 75 336 0.057162300102075535 0.033523733506273225 0.029746054085222805 0.0001005349296046045
16 100 100 454 0.07241406810750459 0.04392733605863428 0.04054238821438847 0.00021072404363658645
16 134 134 621 0.09058420246517394 0.04801484516952101 0.04201066961415148 5.016800627092e-5
16 178 178 835 0.09146675429948516 0.06092222384357216 0.05672792319922388 0.0002873644310975807
16 238 238 1120 0.1255394272263633 0.08385430314827987 0.07622900865794106 0.00023868001427817945
16 317 317 1499 0.1858302857497056 0.11816408174526535 0.10963185589877694 0.0005109511070238052
16 422 422 2021 0.24755022048015676 0.16006652938381116 0.14225482935348935 0.00026567449970441904
16 563 563 2713 0.34768678713315393 0.214993264125525 0.19925475929136402 0.0009085943379133678
16 750 750 3603 0.4228625080687753 0.2869887291409455 0.2652645297514214 0.0011843667533164243
16 1000 1000 4853 0.6072322322322322 0.38013551090745307 0.3471877584100314 0.001209064069059906
16 1334 1334 6506 0.8231275303643726 0.5144099624431706 0.4642858675881326 0.0014660083674692156
16 1779 1779 8699 1.0328900498693896 0.6786947278082271 0.6278786470305769 0.0028388180217788477
16 2372 2372 11631 1.4086229865568607 0.8960018488560203 0.829983529276215 0.0038117173521951785
16 3163 3163 15546 1.8058895277922982 1.1929555308291446 1.0309080059797837 0.0019724954503566442
16 4217 4217 20775 2.412471694826685 1.561736515692539 1.4449686908322488 0.007247446125572863
16 5624 5624 27767 3.0744616065991255 2.0724735035079864 1.925828938984878 0.009781583272918398
16 7499 7499 37040 4.0806433843780985 2.720828589268006 2.5281802426515863 0.013089948870037726
16 10000 10000 49512 5.1542785758900695 3.4390498020420925 3.19848750662847 0.01712832161336668
16 13336 13336 66137 6.38696281989377 4.471208612909223 4.151101044607565 0.022523744403503222
16 17783 17783 88263 8.38603325415677 5.781292984869326 5.361639413569694 0.03060123347278391
16 23714 23714 117795 10.014452709883104 7.316573238714887 6.801468486673696 0.041264542164833974
16 31623 31623 157219 12.078438904467406 9.145956951716114 8.499632004194158 0.05466059075673171
16 42170 42170 209823 14.460080631267013 11.164212458597708 10.439629385021977 0.07174824256591189
16 56235 56235 279974 16.50644105768947 13.372850592281237 12.536692429320196 0.09691897133112914
16 74990 74990 373539 18.83754002874505 15.797800803552546 14.887788968641354 0.12906142578809945
16 100000 100000 498374 21.015138098250052 18.090457003883987 17.06371530981659 0.17016910412594535
16 133353 133353 664974 22.726772501238916 19.877709938496263 18.94147625073204 0.1935100590607062
16 177828 177828 887077 23.49530531975474 20.37582906002538 18.85698933831426 0.15405532815408501
16 237138 237138 1183227 22.10936711699086 20.243144869826306 19.44939837058148 0.130337935134894
16 316228 316228 1578347 23.157518670129257 21.191412517370317 20.600576596140268 0.12176215597843987
16 421697 421697 2105214 24.120924636933914 22.563076411924524 22.28426239440947 5.289116957999132
16 562342 562342 2807912 24.664558518674678 23.47516971541317 23.175866436471928 6.047761149024478
16 749895 749895 3745073 20.897503787424355 19.781316395856305 19.671985992133905 3.695851647755196
16 1000000 1000000 4994964 16.106630207485203 15.415211482332174 15.230939757093127 4.798450651253875
16 1333522 1333522 6661810 16.33034719524048 11.669278111421837 12.577111435572062 2.1009838195663244
16 1778280 1778280 8884744 16.190228364420925 8.315025478075098 9.14443541493456 2.636836856117304
16 2371374 2371374 11849210 13.980428454959373 13.198907146737913 9.086763631999721 2.7622442014647164
16 3162278 3162278 15802570 14.453078805400365 14.046132708589479 12.986827026811575 3.4661238751323573
16 4216966 4216966 21074714 13.972606027496075 13.557650792313112 12.002716630544013 4.336308262924381
16 5623414 5623414 28105160 14.432571568689124 13.868008935575313 11.705443239431219 3.964960976640299
16 7498943 7498943 37480834 14.650668294829929 14.182418241483596 11.840039740743592 4.224138056366081
16 10000000 10000000 49984105 14.386819382387554 13.89218859946041 9.98894978568247 4.143439860232146
16 13335215 13335215 66657704 14.39414695600057 12.676481706352005 10.87852591449372 3.8211791650166504
16 17782795 17782795 88892878 14.383844467277772 14.011846554677454 12.549210916687743 4.139059997710995
16 23713738 23713738 118544520 14.235579774839277 13.861234386243407 12.176036918322513 4.588727022280741
16 31622777 31622777 158085812 14.1427605872 13.671419157971686 12.816355133914312 4.4361163936002725
16 42169651 42169651 210815793 14.003504001427347 13.665325943439285 12.763336364792062 4.803195995838119
16 56234133 56234133 281133039 13.917150607456042 13.678808547929496 12.64801679487649 4.779492369096656
16 74989421 74989421 374903757 13.697392306062953 13.542879704120123 12.175673893327211 4.19314922561676
16 100000000 100000000 499950126 13.5933235875794 13.439893629297126 11.64417670152484 5.015611655417785
16 133352144 133352144 666703035 13.478830483169396 13.340489348412108 12.99048404425515 3.8796300813124756
16 177827942 177827942 889073405 13.381528017236514 7.952032248311249 8.14571415829259 3.9024028143368006
16 237137371 237137371 1185609503 13.345706337627703 13.192695823913484 11.56313605467339 4.533883470966212
16 316227767 316227767 1581050684 11.648925690716968 7.521330096166566 7.405560382625702 3.7303998742614772
16 421696504 421696504 2108379980 11.16012483621181 7.244185123472775 7.086790287416374 4.0561278816152235
16 562341326 562341326 2811588432 11.052005471708627 6.713304519649386 6.349149612372445 1.0444334080567355
16 749894210 749894210 3749332867 7.8321755507862125 5.2699701935042675 4.588875154438441 0.9273687018347256
16 1000000000 1000000000 4999840847 6.6025949304008416 4.251478396847855 4.037639086118819 1.1060444407702346
